@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_rlf

@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.069358,0.017367,0.015425,0.005524,classical
0.080346,0.024401,0.019927,0.009558,classical
0.132694,0.036832,0.041036,0.018928,classical
0.121495,0.044999,0.048365,0.02259,classical
0.067454,0.020733,0.022505,0.011166,classical
0.098907,0.033932,0.029067,0.011403,classical
0.233359,0.057755,0.044664,0.01367,classical
0.230297,0.062326,0.059096,0.021384,classical
0.226113,0.062242,0.053354,0.015373,classical
0.145896,0.044729,0.063908,0.02664,classical
0.138898,0.037728,0.024289,0.012614,classical
0.191364,0.127751,0.136387,0.146051,classical
0.210174,0.08637,0.106407,0.107686,classical
0.171097,0.053192,0.043041,0.017975,classical
0.112615,0.04035,0.040245,0.015311,classical
0.197743,0.083383,0.054393,0.071045,classical
0.113271,0.051624,0.025796,0.032842,classical
0.165085,0.111519,0.068069,0.045229,country
0.217591,0.090052,0.037444,0.025789,country
0.121526,0.146192,0.054587,0.086912,country
0.169569,0.118283,0.064992,0.058095,country
0.211704,0.109586,0.0562,0.030943,country
0.226809,0.09389,0.03953,0.04217,country
0.217316,0.136105,0.053838,0.046253,country
0.179257,0.12444,0.057655,0.035104,country
0.174584,0.08453,0.04716,0.034109,country
0.263668,0.107333,0.047003,0.042429,country
0.114216,0.092477,0.056705,0.064476,country
0.19974,0.168565,0.096841,0.079941,country
0.080757,0.063006,0.02657,0.041135,country
0.209064,0.137884,0.064574,0.058642,country
0.202032,0.184132,0.088711,0.098355,country
0.13758,0.076183,0.09368,0.044834,country
0.08343,0.054732,0.031443,0.023501,country
0.080743,0.035034,0.047555,0.027107,country
0.151468,0.082337,0.054054,0.045528,country
0.090262,0.066746,0.050578,0.057345,country
0.158335,0.165267,0.066503,0.061473,country
0.053332,0.033399,0.017294,0.020264,country
0.110352,0.065907,0.048998,0.026887,country
0.052477,0.067052,0.048907,0.082833,country
0.154331,0.07708,0.096254,0.036089,country
0.090551,0.062142,0.050023,0.049515,country
0.072465,0.04766,0.026201,0.025738,country
0.162386,0.067566,0.040189,0.019805,country
0.088916,0.045255,0.0372,0.017907,country
0.077052,0.04108,0.025192,0.020095,country
0.039716,0.019659,0.0102,0.027579,country
0.157365,0.100661,0.064701,0.069728,country
0.088349,0.0829,0.045701,0.058345,country
0.188336,0.103006,0.088142,0.042613,country
0.202379,0.187915,0.047082,0.051752,country
0.167275,0.121114,0.048234,0.058771,country
0.09725,0.093542,0.057573,0.041547,country
0.12401,0.103127,0.059626,0.076476,country
0.171356,0.117313,0.055137,0.0458,country
0.411347,0.193145,0.073517,0.039414,country
0.163629,0.098171,0.052699,0.041036,country
0.155189,0.157043,0.071663,0.03958,country
0.115651,0.094651,0.039064,0.044737,country
0.214794,0.110747,0.049056,0.043971,country
0.103258,0.068047,0.056294,0.054166,country
0.216223,0.130332,0.049143,0.062905,country
0.204567,0.099205,0.058603,0.025275,country
0.169449,0.080059,0.060945,0.026572,country
0.088957,0.071127,0.029968,0.05169,country
0.1124,0.055883,0.033777,0.029766,country
0.104829,0.094149,0.044759,0.062152,country
0.073613,0.056635,0.045573,0.041283,country
0.128292,0.122059,0.195948,0.146966,country
0.157891,0.102766,0.034327,0.02349,country
0.055507,0.054968,0.027267,0.031167,country
0.112607,0.054231,0.029434,0.025204,country
0.075331,0.035102,0.055046,0.036418,country
0.092377,0.065828,0.055438,0.050052,country
0.079921,0.076815,0.026518,0.038918,country
0.059773,0.057504,0.0358,0.048327,country
0.068471,0.095224,0.055962,0.111304,country
0.050856,0.036639,0.028481,0.040903,country
0.150496,0.114695,0.038187,0.045454,country
0.086471,0.114434,0.043605,0.087096,country
0.079196,0.036232,0.032034,0.034252,country
0.052086,0.030581,0.024361,0.027032,country
0.15001,0.046144,0.039017,0.021598,country
0.05139,0.035749,0.028571,0.037428,country
0.070915,0.040215,0.024285,0.02136,country
0.088315,0.055897,0.046458,0.027086,country
0.161564,0.094388,0.047616,0.035382,country
0.092653,0.040635,0.057134,0.032121,country
0.128456,0.066868,0.035986,0.039447,country
0.093732,0.055267,0.04492,0.025712,country
0.088217,0.058761,0.045212,0.042084,country
0.158401,0.073453,0.056468,0.025493,country
0.116299,0.066399,0.064457,0.033684,country
0.125014,0.034352,0.034778,0.016575,country
0.065848,0.060587,0.048336,0.064307,country
0.066692,0.028016,0.046858,0.028578,country
0.138369,0.113758,0.060841,0.035423,country
0.154957,0.113762,0.044668,0.045363,country
0.170378,0.108571,0.040854,0.034986,country
0.089891,0.065535,0.041988,0.038427,country
0.143867,0.085556,0.044683,0.027933,country
0.10705,0.07179,0.050983,0.038487,country
0.132358,0.093246,0.03388,0.035425,country
0.111636,0.066832,0.050659,0.041889,country
0.083853,0.06642,0.02968,0.026057,country
0.072901,0.072627,0.035607,0.067239,country
0.164765,0.085185,0.03933,0.042123,country
0.100343,0.066789,0.057328,0.045724,country
0.197276,0.093353,0.049133,0.021657,country
0.103023,0.067368,0.046383,0.053739,country
0.096277,0.081911,0.031192,0.046075,country
0.100065,0.083744,0.052936,0.06021,country
0.14156,0.082845,0.052616,0.052351,country
0.129737,0.138837,0.079025,0.116096,country
0.090272,0.067135,0.038663,0.058854,country
0.156711,0.099519,0.054341,0.049079,country
0.284645,0.172992,0.073065,0.078164,hiphop
0.419728,0.351261,0.095154,0.054899,hiphop
0.084243,0.113447,0.036437,0.06293,hiphop
0.214215,0.243997,0.046135,0.052773,hiphop
0.357354,0.344633,0.107615,0.082031,hiphop
0.21894,0.179576,0.046537,0.048195,hiphop
0.267195,0.269617,0.104368,0.070462,hiphop
0.194383,0.233747,0.073836,0.088302,hiphop
0.444267,0.244219,0.132518,0.098775,hiphop
0.198133,0.225796,0.121902,0.07291,hiphop
0.21083,0.10939,0.061524,0.036259,hiphop
0.14455,0.134359,0.060641,0.050222,hiphop
0.124814,0.101314,0.032771,0.041119,hiphop
0.156779,0.094208,0.044508,0.042816,hiphop
0.245825,0.111099,0.057806,0.035937,hiphop
0.189307,0.132168,0.060013,0.044312,hiphop
0.283319,0.263472,0.076938,0.078436,hiphop
0.168784,0.212383,0.05534,0.071308,hiphop
0.271537,0.21995,0.085513,0.064117,hiphop
0.198248,0.181953,0.063097,0.038162,hiphop
0.446295,0.325305,0.131564,0.079191,hiphop
0.199705,0.145541,0.054682,0.05595,hiphop
0.11128,0.137855,0.045775,0.070939,hiphop
0.174719,0.10722,0.043521,0.036619,hiphop
0.262484,0.156015,0.062034,0.049346,hiphop
0.288225,0.272887,0.058161,0.072516,hiphop
0.403202,0.294713,0.08138,0.050374,hiphop
0.272123,0.285698,0.111446,0.095831,hiphop
0.235075,0.19229,0.056612,0.068227,hiphop
0.333647,0.308851,0.093496,0.079176,hiphop
0.352008,0.228957,0.05882,0.026331,hiphop
0.246336,0.213254,0.07956,0.064955,hiphop
0.164474,0.235754,0.064691,0.078097,hiphop
0.284576,0.173609,0.098447,0.083464,hiphop
0.30663,0.151538,0.054287,0.032985,hiphop
0.494782,0.39171,0.08814,0.041847,hiphop
0.450843,0.307766,0.179179,0.087797,hiphop
0.451232,0.281756,0.126546,0.069181,hiphop
0.279992,0.161155,0.241714,0.098221,hiphop
0.22205,0.241989,0.145404,0.105847,hiphop
0.171874,0.178349,0.155054,0.144538,hiphop
0.197539,0.16416,0.056349,0.057381,hiphop
0.328571,0.31813,0.094244,0.07666,hiphop
0.184495,0.232105,0.120226,0.127816,hiphop
0.266398,0.130892,0.083151,0.070609,hiphop
0.22205,0.241989,0.145404,0.105847,hiphop
0.155428,0.173169,0.053958,0.05475,hiphop
0.281095,0.332761,0.09867,0.053806,hiphop
0.096573,0.13408,0.05492,0.060157,hiphop
0.206725,0.226371,0.054072,0.058535,hiphop
0.095368,0.183336,0.049511,0.089434,hiphop
0.15283,0.195197,0.069135,0.062017,hiphop
0.169905,0.251397,0.084461,0.084488,hiphop
0.31564,0.325136,0.111598,0.055457,hiphop
0.255623,0.277509,0.086451,0.066182,hiphop
0.10899,0.103418,0.036494,0.035167,hiphop
0.163776,0.22828,0.041721,0.058929,hiphop
0.078375,0.124708,0.024398,0.045253,hiphop
0.221247,0.192607,0.053876,0.039268,hiphop
0.137857,0.191233,0.060858,0.072137,hiphop
0.229071,0.265406,0.167621,0.138629,hiphop
0.13989,0.183951,0.055236,0.093248,hiphop
0.318111,0.34425,0.100004,0.072454,hiphop
0.34513,0.312479,0.081014,0.059663,hiphop
0.18489,0.236337,0.063922,0.06593,hiphop
0.160238,0.24737,0.06007,0.068018,hiphop
0.228885,0.273739,0.101868,0.114418,hiphop
0.389134,0.35772,0.096599,0.056135,hiphop
0.149561,0.170787,0.042248,0.037466,hiphop
0.227978,0.246654,0.078245,0.066103,hiphop
0.11594,0.209015,0.046009,0.075144,hiphop
0.169782,0.254439,0.096658,0.086471,hiphop
0.106976,0.212563,0.04361,0.088841,hiphop
0.130782,0.177838,0.116511,0.09085,hiphop
0.264957,0.274856,0.088023,0.080314,hiphop
0.291837,0.301031,0.0869,0.049085,hiphop
0.354733,0.359397,0.096278,0.066884,hiphop
0.237201,0.24206,0.061538,0.057575,hiphop
0.354733,0.359397,0.096278,0.066884,hiphop
0.319754,0.255457,0.064601,0.04375,hiphop
0.291013,0.224929,0.063741,0.049302,hiphop
0.159728,0.255752,0.090314,0.110851,hiphop
0.293411,0.279353,0.081749,0.082713,hiphop
0.282554,0.256259,0.086522,0.093293,hiphop
0.323052,0.297503,0.090719,0.060325,hiphop
0.314299,0.263767,0.081254,0.067333,hiphop
0.238632,0.285675,0.091577,0.095302,hiphop
0.404995,0.382405,0.098298,0.080879,hiphop
0.239306,0.168145,0.046142,0.041541,hiphop
0.299139,0.269965,0.073692,0.069918,hiphop
0.240332,0.232767,0.06184,0.078917,hiphop
0.265043,0.193942,0.059528,0.048358,hiphop
0.246094,0.321616,0.081804,0.086103,hiphop
0.358133,0.245435,0.089405,0.049128,hiphop
0.30322,0.355393,0.123461,0.089697,hiphop
0.288372,0.147684,0.052976,0.030995,hiphop
0.139508,0.103524,0.027534,0.041533,hiphop
0.184448,0.210026,0.068396,0.071127,hiphop
0.27684,0.286415,0.075472,0.081071,hiphop
0.238952,0.245706,0.075156,0.08937,hiphop
0.284645,0.172992,0.073065,0.078164,hiphop
0.419728,0.351261,0.095154,0.054899,hiphop
0.084243,0.113447,0.036437,0.06293,hiphop
0.214215,0.243997,0.046135,0.052773,hiphop
0.357354,0.344633,0.107615,0.082031,hiphop
0.21894,0.179576,0.046537,0.048195,hiphop
0.267195,0.269617,0.104368,0.070462,hiphop
0.194383,0.233747,0.073836,0.088302,hiphop
0.444267,0.244219,0.132518,0.098775,hiphop
0.198133,0.225796,0.121902,0.07291,hiphop
0.21083,0.10939,0.061524,0.036259,hiphop
0.14455,0.134359,0.060641,0.050222,hiphop
0.124814,0.101314,0.032771,0.041119,hiphop
0.156779,0.094208,0.044508,0.042816,hiphop
0.245825,0.111099,0.057806,0.035937,hiphop
0.189307,0.132168,0.060013,0.044312,hiphop
0.283319,0.263472,0.076938,0.078436,hiphop
0.168784,0.212383,0.05534,0.071308,hiphop
0.271537,0.21995,0.085513,0.064117,hiphop
0.198248,0.181953,0.063097,0.038162,hiphop
0.446295,0.325305,0.131564,0.079191,hiphop
0.199705,0.145541,0.054682,0.05595,hiphop
0.11128,0.137855,0.045775,0.070939,hiphop
0.174719,0.10722,0.043521,0.036619,hiphop
0.262484,0.156015,0.062034,0.049346,hiphop
0.288225,0.272887,0.058161,0.072516,hiphop
0.403202,0.294713,0.08138,0.050374,hiphop
0.272123,0.285698,0.111446,0.095831,hiphop
0.235075,0.19229,0.056612,0.068227,hiphop
0.333647,0.308851,0.093496,0.079176,hiphop
0.352008,0.228957,0.05882,0.026331,hiphop
0.246336,0.213254,0.07956,0.064955,hiphop
0.164474,0.235754,0.064691,0.078097,hiphop
0.284576,0.173609,0.098447,0.083464,hiphop
0.30663,0.151538,0.054287,0.032985,hiphop
0.494782,0.39171,0.08814,0.041847,hiphop
0.450843,0.307766,0.179179,0.087797,hiphop
0.451232,0.281756,0.126546,0.069181,hiphop
0.279992,0.161155,0.241714,0.098221,hiphop
0.22205,0.241989,0.145404,0.105847,hiphop
0.171874,0.178349,0.155054,0.144538,hiphop
0.197539,0.16416,0.056349,0.057381,hiphop
0.328571,0.31813,0.094244,0.07666,hiphop
0.184495,0.232105,0.120226,0.127816,hiphop
0.266398,0.130892,0.083151,0.070609,hiphop
0.22205,0.241989,0.145404,0.105847,hiphop
0.155428,0.173169,0.053958,0.05475,hiphop
0.281095,0.332761,0.09867,0.053806,hiphop
0.096573,0.13408,0.05492,0.060157,hiphop
0.206725,0.226371,0.054072,0.058535,hiphop
0.095368,0.183336,0.049511,0.089434,hiphop
0.15283,0.195197,0.069135,0.062017,hiphop
0.169905,0.251397,0.084461,0.084488,hiphop
0.31564,0.325136,0.111598,0.055457,hiphop
0.255623,0.277509,0.086451,0.066182,hiphop
0.10899,0.103418,0.036494,0.035167,hiphop
0.163776,0.22828,0.041721,0.058929,hiphop
0.078375,0.124708,0.024398,0.045253,hiphop
0.221247,0.192607,0.053876,0.039268,hiphop
0.137857,0.191233,0.060858,0.072137,hiphop
0.229071,0.265406,0.167621,0.138629,hiphop
0.13989,0.183951,0.055236,0.093248,hiphop
0.318111,0.34425,0.100004,0.072454,hiphop
0.34513,0.312479,0.081014,0.059663,hiphop
0.18489,0.236337,0.063922,0.06593,hiphop
0.160238,0.24737,0.06007,0.068018,hiphop
0.228885,0.273739,0.101868,0.114418,hiphop
0.389134,0.35772,0.096599,0.056135,hiphop
0.149561,0.170787,0.042248,0.037466,hiphop
0.227978,0.246654,0.078245,0.066103,hiphop
0.11594,0.209015,0.046009,0.075144,hiphop
0.169782,0.254439,0.096658,0.086471,hiphop
0.106976,0.212563,0.04361,0.088841,hiphop
0.130782,0.177838,0.116511,0.09085,hiphop
0.264957,0.274856,0.088023,0.080314,hiphop
0.291837,0.301031,0.0869,0.049085,hiphop
0.354733,0.359397,0.096278,0.066884,hiphop
0.237201,0.24206,0.061538,0.057575,hiphop
0.354733,0.359397,0.096278,0.066884,hiphop
0.319754,0.255457,0.064601,0.04375,hiphop
0.291013,0.224929,0.063741,0.049302,hiphop
0.159728,0.255752,0.090314,0.110851,hiphop
0.293411,0.279353,0.081749,0.082713,hiphop
0.282554,0.256259,0.086522,0.093293,hiphop
0.323052,0.297503,0.090719,0.060325,hiphop
0.314299,0.263767,0.081254,0.067333,hiphop
0.238632,0.285675,0.091577,0.095302,hiphop
0.404995,0.382405,0.098298,0.080879,hiphop
0.239306,0.168145,0.046142,0.041541,hiphop
0.299139,0.269965,0.073692,0.069918,hiphop
0.240332,0.232767,0.06184,0.078917,hiphop
0.265043,0.193942,0.059528,0.048358,hiphop
0.246094,0.321616,0.081804,0.086103,hiphop
0.358133,0.245435,0.089405,0.049128,hiphop
0.30322,0.355393,0.123461,0.089697,hiphop
0.288372,0.147684,0.052976,0.030995,hiphop
0.139508,0.103524,0.027534,0.041533,hiphop
0.184448,0.210026,0.068396,0.071127,hiphop
0.27684,0.286415,0.075472,0.081071,hiphop
0.238952,0.245706,0.075156,0.08937,hiphop
0.135515,0.070128,0.065544,0.0505,jazz
0.088345,0.041436,0.04237,0.022547,jazz
0.101425,0.024137,0.05385,0.014443,jazz
0.063993,0.018674,0.019679,0.009774,jazz
0.053206,0.01845,0.02464,0.019735,jazz
0.086082,0.069848,0.020734,0.071737,jazz
0.106714,0.060601,0.072173,0.067622,jazz
0.082746,0.032284,0.029019,0.036381,jazz
0.093568,0.097481,0.095468,0.105277,jazz
0.074191,0.052232,0.054047,0.108015,jazz
0.072171,0.044281,0.058754,0.075484,jazz
0.111281,0.060035,0.035889,0.026949,jazz
0.083681,0.045968,0.034433,0.018204,jazz
0.0644,0.047698,0.019295,0.052307,jazz
0.098952,0.033346,0.056532,0.023175,jazz
0.099534,0.060173,0.031404,0.022866,jazz
0.115985,0.043416,0.065094,0.045274,jazz
0.141412,0.089485,0.068371,0.047987,jazz
0.134928,0.060415,0.037002,0.032954,jazz
0.092918,0.034488,0.026251,0.027598,jazz
0.078747,0.115023,0.079635,0.142852,jazz
0.30751,0.143244,0.132552,0.038432,jazz
0.076613,0.04522,0.040968,0.05295,jazz
0.116932,0.056146,0.046778,0.040243,jazz
0.159323,0.092732,0.072722,0.059517,jazz
0.068254,0.064971,0.02095,0.052723,jazz
0.116092,0.073762,0.170151,0.143902,jazz
0.102352,0.095769,0.047069,0.052371,jazz
0.110645,0.060534,0.037588,0.030393,jazz
0.169127,0.096614,0.050879,0.027165,jazz
0.118216,0.043621,0.088508,0.034243,jazz
0.121079,0.0612,0.051167,0.026425,jazz
0.080778,0.0572,0.052331,0.044948,jazz
0.065683,0.061885,0.031215,0.068645,jazz
0.139605,0.090793,0.054446,0.02863,jazz
0.050134,0.017432,0.014979,0.009945,jazz
0.14344,0.061511,0.039789,0.019296,jazz
0.083536,0.047357,0.019128,0.029301,jazz
0.098876,0.050282,0.035629,0.022872,jazz
0.111736,0.077294,0.033518,0.031787,jazz
0.075494,0.046376,0.0277,0.02655,jazz
0.191094,0.085637,0.052941,0.036759,jazz
0.101477,0.054686,0.06003,0.043357,jazz
0.131139,0.054981,0.052065,0.019551,jazz
0.08312,0.061783,0.035003,0.06851,jazz
0.060603,0.023256,0.024607,0.012643,jazz
0.085737,0.05016,0.030342,0.020672,jazz
0.140395,0.089468,0.063382,0.055478,jazz
0.108389,0.050205,0.03125,0.017415,jazz
0.075484,0.054563,0.048714,0.059579,jazz
0.095192,0.098001,0.032096,0.05382,jazz
0.065718,0.061917,0.031226,0.068642,jazz
0.127955,0.131953,0.072956,0.077904,jazz
0.140231,0.091417,0.055569,0.029774,jazz
0.089748,0.035319,0.028187,0.018827,jazz
0.05015,0.017465,0.014978,0.009975,jazz
0.164413,0.147722,0.052328,0.042118,jazz
0.086887,0.043179,0.050145,0.054226,jazz
0.143436,0.061497,0.039788,0.019295,jazz
0.111118,0.164561,0.101709,0.148236,jazz
0.084302,0.04957,0.019114,0.030734,jazz
