@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_flx

@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.078992,0.030269,0.00967,0.004653,country
0.083689,0.028751,0.010523,0.005637,country
0.094551,0.037024,0.016184,0.01023,hiphop
0.101815,0.035475,0.013628,0.006685,hiphop
0.093761,0.035763,0.012325,0.008785,hiphop
0.097375,0.038426,0.012399,0.007185,hiphop
0.10714,0.052159,0.015252,0.01804,hiphop
0.086079,0.027572,0.010742,0.005473,hiphop
0.100969,0.043644,0.013983,0.012131,hiphop
0.091404,0.036575,0.01191,0.00722,hiphop
0.093658,0.037401,0.011293,0.011012,hiphop
0.096879,0.041322,0.014052,0.010119,hiphop
0.087242,0.028767,0.012135,0.004369,hiphop
0.088018,0.02928,0.011627,0.006064,hiphop
0.085545,0.029783,0.011388,0.004532,hiphop
0.094655,0.039574,0.013782,0.009066,hiphop
0.081305,0.029459,0.010817,0.005596,hiphop
0.089224,0.032846,0.01207,0.007834,hiphop
0.09195,0.035883,0.011764,0.006531,hiphop
0.08588,0.031005,0.010496,0.005205,hiphop
0.090376,0.031355,0.013068,0.00713,hiphop
0.102113,0.048318,0.014384,0.009327,hiphop
0.09675,0.033407,0.013032,0.004824,hiphop
0.084782,0.027703,0.010808,0.005304,hiphop
0.093724,0.033345,0.013015,0.005433,hiphop
0.082322,0.027861,0.010104,0.004326,hiphop
0.097242,0.03603,0.012623,0.007024,hiphop
0.086688,0.029347,0.011169,0.00521,hiphop
0.089179,0.032933,0.012748,0.007542,hiphop
0.095035,0.037933,0.011146,0.008937,hiphop
0.089913,0.03001,0.011372,0.005579,hiphop
0.087527,0.033336,0.01135,0.006165,hiphop
0.07931,0.026782,0.009953,0.005533,hiphop
0.07946,0.02627,0.010097,0.004942,hiphop
0.08981,0.034088,0.01237,0.007427,hiphop
0.077536,0.027872,0.013249,0.008593,hiphop
0.079941,0.02599,0.010123,0.003924,hiphop
0.088351,0.031195,0.011178,0.00751,hiphop
0.118449,0.083547,0.042264,0.085941,hiphop
0.099525,0.05284,0.013051,0.047199,hiphop
0.082909,0.05649,0.020043,0.066032,hiphop
0.092121,0.040281,0.008333,0.035284,hiphop
0.082975,0.035711,0.00928,0.036161,hiphop
0.085693,0.036088,0.008768,0.035429,hiphop
0.092142,0.03624,0.00847,0.036402,hiphop
0.093238,0.046014,0.010537,0.036433,hiphop
0.087315,0.037207,0.010922,0.034773,hiphop
0.092123,0.040287,0.008333,0.035312,hiphop
0.09143,0.037073,0.013493,0.009035,hiphop
0.086608,0.033542,0.010116,0.006809,hiphop
0.085524,0.032705,0.011945,0.008515,hiphop
0.081961,0.027377,0.010466,0.004532,hiphop
0.089962,0.034578,0.010863,0.006597,hiphop
0.088097,0.034237,0.011741,0.007369,hiphop
0.089074,0.037583,0.011462,0.008221,hiphop
0.095504,0.043639,0.012315,0.009102,hiphop
0.08659,0.03005,0.011264,0.005955,hiphop
0.080514,0.030763,0.010419,0.0064,hiphop
0.088649,0.037131,0.011483,0.007274,hiphop
0.083579,0.028847,0.01084,0.004773,hiphop
0.089993,0.03459,0.010994,0.008469,hiphop
0.086437,0.030982,0.012013,0.006295,hiphop
0.089054,0.032352,0.011322,0.00666,hiphop
0.082976,0.02958,0.011002,0.005102,hiphop
0.096244,0.040602,0.012764,0.008546,hiphop
0.092774,0.03663,0.01248,0.005781,hiphop
0.091156,0.035489,0.011811,0.008015,hiphop
0.097694,0.043142,0.012792,0.009927,hiphop
0.087948,0.039536,0.011471,0.008399,hiphop
0.087649,0.033303,0.010784,0.007733,hiphop
0.08851,0.033918,0.0116,0.006857,hiphop
0.080989,0.028119,0.011621,0.005444,hiphop
0.087549,0.032663,0.011113,0.007607,hiphop
0.079079,0.030425,0.010364,0.006402,hiphop
0.090086,0.034197,0.011546,0.007084,hiphop
0.08792,0.034136,0.011855,0.010021,hiphop
0.086147,0.031435,0.011782,0.00587,hiphop
0.088097,0.032439,0.010951,0.007558,hiphop
0.093195,0.035368,0.010416,0.008456,hiphop
0.09394,0.033298,0.012784,0.008255,hiphop
0.0931,0.035112,0.010673,0.007647,hiphop
0.099182,0.040122,0.012685,0.00856,hiphop
0.090206,0.032202,0.011515,0.008566,hiphop
0.091688,0.03501,0.011601,0.00621,hiphop
0.083959,0.026706,0.011282,0.003627,hiphop
0.091646,0.030585,0.012482,0.004664,hiphop
0.087798,0.032645,0.013076,0.007595,hiphop
0.081301,0.026122,0.010186,0.004612,hiphop
0.086801,0.031984,0.011366,0.005848,hiphop
0.093568,0.034754,0.012515,0.005724,hiphop
0.087335,0.028371,0.010622,0.00513,hiphop
0.092132,0.032028,0.010665,0.005324,hiphop
0.083331,0.02615,0.011097,0.003705,hiphop
0.08774,0.02784,0.010315,0.006104,hiphop
0.087058,0.028116,0.011757,0.004777,hiphop
0.091493,0.029719,0.011059,0.005979,hiphop
0.091666,0.0299,0.011094,0.00505,hiphop
0.08629,0.029348,0.011548,0.005199,hiphop
0.089699,0.030562,0.010975,0.005457,hiphop
0.083938,0.026207,0.010614,0.004974,hiphop
0.087822,0.029586,0.011168,0.0051,hiphop
0.091535,0.034523,0.012313,0.006903,hiphop
0.094551,0.037024,0.016184,0.01023,hiphop
0.101815,0.035475,0.013628,0.006685,hiphop
0.093761,0.035763,0.012325,0.008785,hiphop
0.097375,0.038426,0.012399,0.007185,hiphop
0.10714,0.052159,0.015252,0.01804,hiphop
0.086079,0.027572,0.010742,0.005473,hiphop
0.100969,0.043644,0.013983,0.012131,hiphop
0.091404,0.036575,0.01191,0.00722,hiphop
0.093658,0.037401,0.011293,0.011012,hiphop
0.096879,0.041322,0.014052,0.010119,hiphop
0.087242,0.028767,0.012135,0.004369,hiphop
0.088018,0.02928,0.011627,0.006064,hiphop
0.085545,0.029783,0.011388,0.004532,hiphop
0.094655,0.039574,0.013782,0.009066,hiphop
0.081305,0.029459,0.010817,0.005596,hiphop
0.089224,0.032846,0.01207,0.007834,hiphop
0.09195,0.035883,0.011764,0.006531,hiphop
0.08588,0.031005,0.010496,0.005205,hiphop
0.090376,0.031355,0.013068,0.00713,hiphop
0.102113,0.048318,0.014384,0.009327,hiphop
0.09675,0.033407,0.013032,0.004824,hiphop
0.084782,0.027703,0.010808,0.005304,hiphop
0.093724,0.033345,0.013015,0.005433,hiphop
0.082322,0.027861,0.010104,0.004326,hiphop
0.097242,0.03603,0.012623,0.007024,hiphop
0.086688,0.029347,0.011169,0.00521,hiphop
0.089179,0.032933,0.012748,0.007542,hiphop
0.095035,0.037933,0.011146,0.008937,hiphop
0.089913,0.03001,0.011372,0.005579,hiphop
0.087527,0.033336,0.01135,0.006165,hiphop
0.07931,0.026782,0.009953,0.005533,hiphop
0.07946,0.02627,0.010097,0.004942,hiphop
0.08981,0.034088,0.01237,0.007427,hiphop
0.077536,0.027872,0.013249,0.008593,hiphop
0.079941,0.02599,0.010123,0.003924,hiphop
0.088351,0.031195,0.011178,0.00751,hiphop
0.118449,0.083547,0.042264,0.085941,hiphop
0.099525,0.05284,0.013051,0.047199,hiphop
0.082909,0.05649,0.020043,0.066032,hiphop
0.092121,0.040281,0.008333,0.035284,hiphop
0.082975,0.035711,0.00928,0.036161,hiphop
0.085693,0.036088,0.008768,0.035429,hiphop
0.092142,0.03624,0.00847,0.036402,hiphop
0.093238,0.046014,0.010537,0.036433,hiphop
0.087315,0.037207,0.010922,0.034773,hiphop
0.092123,0.040287,0.008333,0.035312,hiphop
0.09143,0.037073,0.013493,0.009035,hiphop
0.086608,0.033542,0.010116,0.006809,hiphop
0.085524,0.032705,0.011945,0.008515,hiphop
0.081961,0.027377,0.010466,0.004532,hiphop
0.089962,0.034578,0.010863,0.006597,hiphop
0.088097,0.034237,0.011741,0.007369,hiphop
0.089074,0.037583,0.011462,0.008221,hiphop
0.095504,0.043639,0.012315,0.009102,hiphop
0.08659,0.03005,0.011264,0.005955,hiphop
0.080514,0.030763,0.010419,0.0064,hiphop
0.088649,0.037131,0.011483,0.007274,hiphop
0.083579,0.028847,0.01084,0.004773,hiphop
0.089993,0.03459,0.010994,0.008469,hiphop
0.086437,0.030982,0.012013,0.006295,hiphop
0.089054,0.032352,0.011322,0.00666,hiphop
0.082976,0.02958,0.011002,0.005102,hiphop
0.096244,0.040602,0.012764,0.008546,hiphop
0.092774,0.03663,0.01248,0.005781,hiphop
0.091156,0.035489,0.011811,0.008015,hiphop
0.097694,0.043142,0.012792,0.009927,hiphop
0.087948,0.039536,0.011471,0.008399,hiphop
0.087649,0.033303,0.010784,0.007733,hiphop
0.08851,0.033918,0.0116,0.006857,hiphop
0.080989,0.028119,0.011621,0.005444,hiphop
0.087549,0.032663,0.011113,0.007607,hiphop
0.079079,0.030425,0.010364,0.006402,hiphop
0.090086,0.034197,0.011546,0.007084,hiphop
0.08792,0.034136,0.011855,0.010021,hiphop
0.086147,0.031435,0.011782,0.00587,hiphop
0.088097,0.032439,0.010951,0.007558,hiphop
0.093195,0.035368,0.010416,0.008456,hiphop
0.09394,0.033298,0.012784,0.008255,hiphop
0.0931,0.035112,0.010673,0.007647,hiphop
0.099182,0.040122,0.012685,0.00856,hiphop
0.090206,0.032202,0.011515,0.008566,hiphop
0.091688,0.03501,0.011601,0.00621,hiphop
0.083959,0.026706,0.011282,0.003627,hiphop
0.091646,0.030585,0.012482,0.004664,hiphop
0.087798,0.032645,0.013076,0.007595,hiphop
0.081301,0.026122,0.010186,0.004612,hiphop
0.086801,0.031984,0.011366,0.005848,hiphop
0.093568,0.034754,0.012515,0.005724,hiphop
0.087335,0.028371,0.010622,0.00513,hiphop
0.092132,0.032028,0.010665,0.005324,hiphop
0.083331,0.02615,0.011097,0.003705,hiphop
0.08774,0.02784,0.010315,0.006104,hiphop
0.087058,0.028116,0.011757,0.004777,hiphop
0.091493,0.029719,0.011059,0.005979,hiphop
0.091666,0.0299,0.011094,0.00505,hiphop
0.08629,0.029348,0.011548,0.005199,hiphop
0.089699,0.030562,0.010975,0.005457,hiphop
0.083938,0.026207,0.010614,0.004974,hiphop
0.087822,0.029586,0.011168,0.0051,hiphop
0.091535,0.034523,0.012313,0.006903,hiphop
0.077495,0.027775,0.007914,0.014371,jazz
0.075223,0.024695,0.010042,0.005436,jazz
0.078643,0.034656,0.01049,0.006062,jazz
0.078747,0.031785,0.011838,0.009222,jazz
0.081602,0.030149,0.011301,0.006061,jazz
0.084229,0.032515,0.01179,0.008334,jazz
0.086565,0.034591,0.012405,0.005653,jazz
0.080577,0.029349,0.010186,0.00453,jazz
0.083451,0.033898,0.011517,0.005938,jazz
0.077859,0.030552,0.010393,0.005272,jazz
0.077914,0.036811,0.012011,0.007658,jazz
0.078404,0.027373,0.00909,0.004717,jazz
0.075145,0.02726,0.009787,0.004198,jazz
0.0785,0.026034,0.009441,0.004516,jazz
0.074791,0.029234,0.010217,0.004285,jazz
0.079502,0.027234,0.009702,0.004323,jazz
0.072377,0.02605,0.010522,0.003701,jazz
0.079334,0.028264,0.010154,0.005107,jazz
0.075101,0.024513,0.009833,0.003229,jazz
0.076254,0.026091,0.010533,0.004191,jazz
0.078525,0.027065,0.010346,0.006593,jazz
0.078993,0.02455,0.010268,0.004629,jazz
0.076382,0.028183,0.009828,0.005639,jazz
0.077045,0.026926,0.010035,0.005098,jazz
0.079531,0.027849,0.009652,0.005423,jazz
0.076682,0.026048,0.010836,0.0044,jazz
0.073666,0.026544,0.011239,0.005375,jazz
0.081071,0.027193,0.010402,0.004655,jazz
0.077789,0.026363,0.010222,0.004236,jazz
0.077636,0.025702,0.01038,0.004173,jazz
0.073535,0.025724,0.010059,0.004274,jazz
0.077819,0.02506,0.010732,0.003734,jazz
0.08372,0.031425,0.011418,0.006891,jazz
0.085033,0.033733,0.010266,0.005906,jazz
0.088539,0.034065,0.011774,0.004785,jazz
0.082929,0.032664,0.011881,0.004697,jazz
0.085918,0.028995,0.011653,0.003698,jazz
0.08242,0.032875,0.010874,0.006395,jazz
0.080302,0.027007,0.011636,0.004422,jazz
0.088401,0.032198,0.010257,0.005592,jazz
0.08724,0.033176,0.012398,0.005544,jazz
0.08502,0.031752,0.010917,0.005557,jazz
0.084526,0.03036,0.011672,0.005518,jazz
0.082878,0.028639,0.010792,0.004693,jazz
0.084749,0.032826,0.010587,0.00584,jazz
0.079743,0.031374,0.010243,0.005004,jazz
0.087092,0.033414,0.011629,0.005357,jazz
0.076595,0.02602,0.010146,0.00419,jazz
0.076121,0.025943,0.009789,0.004543,jazz
0.076499,0.024045,0.009937,0.00461,jazz
0.077488,0.026636,0.009784,0.004518,jazz
0.076645,0.026983,0.009524,0.004108,jazz
0.073894,0.025765,0.009055,0.006938,jazz
0.081027,0.02891,0.011034,0.004859,jazz
0.073638,0.024266,0.010211,0.004852,jazz
0.073403,0.024537,0.008745,0.006435,jazz
0.074492,0.024409,0.008448,0.006926,jazz
0.071722,0.024332,0.008624,0.005366,jazz
0.078109,0.024684,0.009968,0.004094,jazz
0.076992,0.028708,0.012382,0.005959,jazz
0.078863,0.030124,0.010405,0.005689,jazz
0.072815,0.025457,0.009547,0.004787,jazz
