@relation gtzan_rh

@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute Feature_15 numeric
@attribute Feature_16 numeric
@attribute Feature_17 numeric
@attribute Feature_18 numeric
@attribute Feature_19 numeric
@attribute Feature_20 numeric
@attribute Feature_21 numeric
@attribute Feature_22 numeric
@attribute Feature_23 numeric
@attribute Feature_24 numeric
@attribute Feature_25 numeric
@attribute Feature_26 numeric
@attribute Feature_27 numeric
@attribute Feature_28 numeric
@attribute Feature_29 numeric
@attribute Feature_30 numeric
@attribute Feature_31 numeric
@attribute Feature_32 numeric
@attribute Feature_33 numeric
@attribute Feature_34 numeric
@attribute Feature_35 numeric
@attribute Feature_36 numeric
@attribute Feature_37 numeric
@attribute Feature_38 numeric
@attribute Feature_39 numeric
@attribute Feature_40 numeric
@attribute Feature_41 numeric
@attribute Feature_42 numeric
@attribute Feature_43 numeric
@attribute Feature_44 numeric
@attribute Feature_45 numeric
@attribute Feature_46 numeric
@attribute Feature_47 numeric
@attribute Feature_48 numeric
@attribute Feature_49 numeric
@attribute Feature_50 numeric
@attribute Feature_51 numeric
@attribute Feature_52 numeric
@attribute Feature_53 numeric
@attribute Feature_54 numeric
@attribute Feature_55 numeric
@attribute Feature_56 numeric
@attribute Feature_57 numeric
@attribute Feature_58 numeric
@attribute Feature_59 numeric
@attribute Feature_60 numeric
@attribute class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@data
14.953184,10.660164,10.692422,6.404053,4.076881,4.355656,5.330394,4.946895,4.943744,7.014007,7.269114,4.231962,3.852864,3.047727,4.456888,9.029101,4.009314,2.779142,3.380831,3.161382,4.53134,4.288277,2.519277,2.654572,2.162462,2.250798,1.846859,2.300955,2.050342,2.156739,3.797168,3.732845,2.577236,2.176429,1.571452,1.713767,1.953687,1.874551,1.763196,1.359278,1.545832,1.96821,2.186097,1.616455,1.770023,2.205425,6.754729,3.292691,1.700621,1.590215,1.701541,1.113975,1.721784,1.268984,1.182019,1.551241,1.023475,1.26821,1.28948,1.049644,blues
6.001022,5.868353,6.076806,4.764307,5.614666,5.40893,3.104558,2.888161,2.669362,2.054422,4.738894,1.992744,1.871262,2.26476,1.985687,3.47966,3.398381,1.863734,1.779876,1.639538,1.528792,2.198484,1.349108,1.226331,1.599918,1.140399,1.40137,1.344174,1.148747,1.3788,0.995741,1.069442,2.309261,1.141671,1.29287,1.418922,0.823479,1.134452,0.94266,0.864039,0.955766,0.824306,0.900226,1.234402,0.74454,0.845054,0.812059,0.732079,0.955344,1.250287,0.657461,0.847255,0.713134,0.65201,0.719565,0.638626,0.682773,0.677811,0.536986,0.90389,blues
12.622681,12.382975,7.76234,5.994936,6.994567,7.166846,4.384639,4.308093,5.541772,4.886961,4.776352,4.275296,3.533842,5.402239,4.774369,4.396608,5.175638,8.507887,4.574354,3.055458,3.356404,2.581283,2.780035,2.374439,2.386794,2.447803,1.926188,2.787308,2.418022,1.984282,2.277245,1.880306,2.083771,2.136674,2.197826,2.791372,3.123044,2.503382,1.789139,1.63846,1.556325,1.448038,1.694971,1.458362,1.380149,1.499867,1.48841,1.455173,1.465955,1.272151,1.723732,1.268151,1.573312,1.841462,1.669604,1.257962,1.302222,1.190997,0.994172,1.272741,blues
10.295153,8.230765,7.608432,4.467203,5.147324,4.814539,4.544317,3.546862,3.952783,3.397419,3.375254,3.792202,3.267622,4.105308,3.394772,4.902284,3.240962,3.592349,3.698015,3.563294,7.540357,3.871411,2.48836,2.379466,2.667411,3.098608,2.37017,1.832421,1.788461,1.677045,2.445738,2.53214,1.495731,1.646601,1.748473,2.241203,1.602653,1.519841,1.481777,1.578679,1.819172,1.85041,1.864536,1.545579,1.499816,1.266045,1.275753,1.223976,1.174667,1.159153,1.216226,1.20458,1.159828,1.248224,1.195123,1.073188,1.154359,1.217067,0.950841,0.978313,blues
9.80199,18.197397,10.08894,6.50601,5.809629,5.326595,5.521512,5.569252,4.391498,3.814021,3.455642,3.429838,3.677617,5.685598,3.079066,6.775146,3.504273,3.056895,2.740881,2.847621,2.173022,1.962518,2.478468,2.296234,2.146447,2.730799,1.996153,2.05827,1.528196,2.116677,2.301539,2.747727,2.030759,2.152846,1.440012,1.831208,1.3662,1.380526,1.280883,1.08155,1.316923,1.304638,1.194598,1.394696,1.242837,1.132691,1.143258,1.23027,1.070623,1.241841,0.930984,1.046796,0.848109,1.145929,0.881739,0.874613,0.921627,0.882861,0.926988,0.892802,blues
12.111703,9.921836,8.229551,6.929763,6.691145,4.996045,6.724524,5.837079,4.71632,6.319612,4.937887,5.162895,4.558211,3.41566,4.308032,3.408061,3.690147,4.003623,3.202854,3.512723,2.483929,3.061617,3.037563,2.558594,2.532744,2.291276,2.491086,2.133065,2.086873,2.00273,1.97774,2.065166,1.882573,1.842271,1.717333,2.002428,2.003525,1.979855,1.811963,1.7499,1.640457,1.400505,1.580446,1.659288,1.495994,1.401934,1.49487,1.239082,1.569317,1.328684,1.174466,1.190287,1.24362,1.192239,1.073214,1.182636,1.006557,1.161469,1.085591,0.870363,blues
12.713649,13.44141,7.621396,6.892552,10.676627,5.75917,5.451303,4.290973,4.902929,5.697549,3.876058,4.027763,3.411303,3.791189,4.792918,3.371361,3.534023,3.868612,4.202623,6.011081,3.170575,2.661852,2.611347,2.849573,3.239685,2.417682,2.336528,1.947452,2.203129,2.208436,1.821417,1.849727,1.714224,2.065122,2.377231,1.783511,2.103937,1.827927,2.16598,2.280216,1.602283,1.514413,1.266378,1.387752,1.410862,1.126472,1.105911,1.385048,1.387507,1.258429,1.093882,1.097912,1.256515,1.085936,1.195295,0.971824,1.108743,1.381572,1.250459,1.370929,blues
14.461388,6.979794,5.902488,5.577909,5.060588,4.04081,5.839375,5.861736,5.124245,4.696931,4.826759,5.06217,4.040139,3.775117,3.750324,5.934438,7.503819,4.617891,4.168739,3.249223,3.643613,3.372153,2.630773,2.436075,2.258668,2.643786,1.895384,2.282255,2.348336,2.849886,1.93648,2.687968,2.63949,3.030513,2.185213,2.487864,1.998247,1.90192,1.540883,1.517148,1.541137,1.396208,1.420452,1.410836,1.622197,1.559854,1.460903,1.362527,1.908327,1.783803,1.161168,1.321808,1.072047,1.254686,1.276026,1.019138,0.972665,1.167101,1.093459,0.955875,blues
11.193912,10.031285,7.784632,4.823719,5.286565,3.983133,4.152569,6.779474,3.415162,3.066141,2.632927,2.594096,2.228885,2.93289,2.571323,3.16619,3.98193,2.643934,2.196879,2.314181,2.55125,2.535169,3.058966,2.43402,3.068672,1.582355,1.684614,1.423089,1.456597,1.319587,1.344794,1.544529,1.59124,1.281369,1.221199,1.154312,1.157118,1.04238,1.224401,1.545169,2.009968,1.60056,1.36643,1.141123,0.993112,0.9377,1.074084,1.107167,0.89054,0.93733,1.191527,0.898879,0.821817,0.797618,0.726615,0.717607,1.040224,0.801478,0.850175,0.805379,blues
12.663487,10.77006,6.787728,5.712059,6.971107,6.398117,4.86616,5.826022,4.937923,4.739153,4.309894,4.75473,3.219821,3.430934,4.386542,4.252019,3.887376,3.565735,3.176487,3.74532,3.374495,3.485366,2.991059,6.882515,5.948166,2.762761,3.336355,2.691901,2.023536,2.481446,2.307195,2.017193,1.709043,1.982861,2.004204,2.034817,1.729475,1.23613,1.750755,1.586186,1.627759,1.783945,1.4554,1.414817,1.235414,1.574207,1.275199,1.599023,2.200352,1.651986,1.62493,1.391506,1.196826,1.251082,1.167751,1.060873,0.900604,1.345859,1.134687,1.060549,blues
7.968497,6.679317,5.113829,4.55361,3.95988,5.826817,4.43501,4.67639,3.347703,3.236757,2.897698,3.081894,4.61936,5.648427,2.903244,3.674339,3.25643,2.403535,3.308449,3.133239,3.504958,2.833551,2.491833,2.590961,2.580388,2.221619,4.03057,2.640509,2.103696,1.628549,2.464625,1.763291,2.165328,2.033273,1.807519,1.73361,1.501525,1.535188,1.988202,1.534839,1.630208,1.538939,1.421347,1.652777,1.372991,1.548038,1.293183,0.928524,1.363393,1.295387,1.228709,1.298692,1.456525,1.890006,1.487912,1.472943,1.400928,1.101685,0.98082,1.05076,blues
14.24397,14.278701,7.473087,7.703264,7.501179,6.306935,5.237341,6.437502,5.378908,9.586463,4.232035,5.726235,4.884423,5.509933,4.69532,4.029604,4.141566,3.560377,3.884465,6.26149,4.666931,3.075618,3.388043,3.024558,3.259571,2.717183,2.277682,2.94213,2.888379,3.130831,2.514189,2.08413,2.20957,2.373588,2.28169,1.782673,1.666373,1.857241,1.740729,2.00152,1.940921,1.696895,1.586647,1.514416,1.412624,1.324945,1.622223,1.716564,1.752137,1.788872,1.710864,1.428126,1.344215,1.212233,1.150934,1.220393,0.980746,1.33992,1.019701,1.133513,blues
13.906233,15.430467,8.950516,6.718506,6.698734,5.333467,5.024675,4.738458,6.281599,6.114348,7.066557,4.855333,5.643679,3.504942,3.95449,4.193281,5.065819,5.857938,4.94488,6.490632,3.363978,4.536371,4.039557,4.150971,3.170312,3.285129,3.399394,3.316684,3.11374,3.89819,3.208794,2.453385,2.239973,2.158162,2.242849,2.112805,1.946423,2.328869,2.110302,1.691005,2.226686,1.760299,1.973176,1.72521,1.638715,1.642289,1.895256,2.251451,2.020301,1.643803,1.359105,1.482365,1.555687,1.50933,1.45648,1.364604,1.367393,1.521368,1.908802,1.501096,blues
13.61028,12.166409,10.590898,4.932433,5.185051,4.267046,4.55,4.529432,3.300547,3.324008,3.873509,3.75292,5.072423,4.611635,4.912907,3.903063,3.911685,5.512561,6.027711,2.90601,2.85565,2.230695,2.789023,3.020783,2.084206,2.641015,2.045582,2.407367,2.640423,1.526565,1.802759,1.502766,1.966864,1.7885,1.846414,1.97655,2.548382,2.20269,2.520123,2.102327,1.95785,2.087042,1.666616,1.463006,1.251411,1.23315,1.360095,1.302086,1.239854,0.960872,1.185194,1.27925,1.480667,1.074987,1.219643,0.824021,1.169342,1.321247,1.415599,1.173672,blues
7.357589,9.91893,5.527437,6.754791,7.287243,5.302244,5.914754,3.481663,4.028456,4.546812,3.838588,2.493077,4.698707,3.837906,3.709396,4.607068,3.234425,2.988765,3.342857,5.526187,5.51036,1.975814,2.390983,3.737558,2.826979,2.321906,2.603148,2.433245,1.508537,1.414304,1.91732,1.808701,1.370921,1.68792,2.17293,1.710142,1.364327,1.50084,1.648144,2.14505,1.968544,2.387555,1.34628,1.650204,1.274233,1.25085,1.406785,1.077102,1.215368,1.448432,0.974706,1.417127,0.932197,1.104143,1.179685,0.876881,1.117727,1.008668,1.073932,1.241875,blues
7.749621,10.272639,8.096956,6.278225,5.238291,4.414466,3.507421,3.617133,4.801464,6.426767,3.190778,4.622307,5.01601,4.935371,3.701536,4.17274,4.302864,6.26538,5.044307,3.1831,3.103356,2.907429,2.898607,1.598935,2.217759,2.901685,2.313875,2.184361,1.894122,2.053025,2.009597,1.944993,1.921609,2.206095,1.673456,2.150959,2.209064,1.732868,1.593149,1.442279,1.609399,1.350014,1.236081,1.156642,1.679702,1.270202,1.498157,1.460458,1.033954,1.256424,1.088875,1.148901,0.968657,1.348766,1.098684,1.179098,1.080987,0.80976,1.051884,1.03651,blues
13.054778,14.202156,7.068463,5.537164,4.106495,5.359375,4.047063,6.898651,4.999104,4.973944,3.621441,3.578036,4.074788,4.589369,4.583871,5.763364,3.67272,3.19151,3.477652,2.66098,2.922679,2.788016,3.005751,4.437383,2.711738,2.735826,2.827137,2.304138,1.808271,1.769489,2.20997,2.233228,2.376172,1.473932,1.822901,1.505815,1.627981,1.804597,1.718867,2.41356,2.215481,1.439999,1.679453,1.570119,1.48717,1.021214,1.065918,1.345053,1.361429,1.132123,1.446934,1.093126,0.968205,1.336877,1.167148,1.229019,1.029529,1.150829,0.923212,1.332082,blues
15.0053,11.852551,8.853766,8.443979,6.348218,6.231161,5.081298,4.74365,5.799121,6.27417,3.880689,3.581825,3.037867,3.834913,3.78321,3.602838,4.398877,3.594046,3.629905,2.664377,2.74223,2.755883,2.597617,2.065433,2.197362,2.198664,2.743404,2.569928,2.140961,1.887206,2.171022,1.605381,1.961701,1.978361,2.158934,1.941957,1.733176,1.764076,1.762796,1.519783,1.381786,1.610281,1.685783,1.633668,1.586712,1.604417,1.495027,1.458392,1.18627,1.155981,1.221126,1.182272,1.279953,1.152857,1.26839,1.31148,1.162574,1.115658,1.005187,1.131287,blues
14.355347,8.544752,6.739154,7.106647,6.958624,6.974051,4.517877,4.660074,3.950938,3.548606,3.877824,4.09596,4.344144,3.633401,3.515752,4.263085,3.054844,2.966714,3.823316,3.942401,7.636181,3.746805,1.942488,3.006189,3.992524,1.966835,2.634984,2.309283,1.818821,2.053779,2.027186,1.860482,1.554848,1.800976,1.795182,2.084571,1.597505,1.36169,1.577744,1.726801,2.356804,2.209356,1.565249,1.465699,1.381317,1.302356,1.380864,1.423824,1.250008,1.197912,1.455519,1.416125,1.182511,1.104785,1.029508,1.234788,1.199861,1.013495,1.239356,0.972043,blues
12.155856,8.179776,8.756212,6.158043,5.695065,5.448471,5.06381,4.38837,4.867124,4.596247,4.732519,5.891646,5.991586,4.328138,3.274881,4.208975,3.562045,3.006357,2.779869,2.65361,2.484875,2.435197,1.841557,2.281057,3.36366,2.495396,2.089122,1.956573,1.59616,1.863551,2.007155,1.585935,1.546274,1.605602,1.430583,1.293612,1.428225,1.617195,1.735638,1.369736,1.437421,1.27903,1.42617,1.374408,1.240171,1.457687,1.145699,0.944727,1.385512,1.33968,2.101636,1.512669,1.232964,1.084022,1.050125,0.857437,0.936129,1.031246,0.952707,0.781891,blues
8.970912,6.781111,6.987691,6.762287,5.62389,4.392612,3.986323,4.357777,3.802833,4.011099,6.021137,3.836762,2.625951,2.449789,3.086509,3.636104,2.630675,3.278388,2.562679,2.70572,2.786784,3.883539,3.060773,2.214796,1.645384,2.250982,1.920972,2.155006,2.084528,2.050392,1.597018,2.102964,2.401907,1.60994,1.568922,1.977193,1.547079,1.529927,1.506779,1.295149,1.560385,1.559833,1.667687,1.905009,1.585324,1.689915,1.617262,1.162471,1.190809,1.093032,1.096589,1.040753,0.955321,1.049593,1.025147,0.914245,0.9645,1.214727,1.075732,0.997249,blues
10.036316,8.234049,6.765329,6.365285,6.251275,5.104579,4.621725,4.59267,3.950046,3.578816,4.151088,3.817409,3.331409,3.758151,3.881967,3.055728,2.979722,3.125326,2.990353,2.51631,2.155721,2.284647,2.576603,2.040873,2.189718,2.026682,1.884664,1.66973,1.844083,1.915178,1.655254,1.813225,1.607296,1.750672,1.553742,1.626172,1.431317,1.42693,1.320412,1.285099,1.107539,1.525423,1.278261,1.402769,1.327862,1.332328,1.506591,1.217827,1.017512,0.978023,1.330987,0.979141,1.042585,1.093086,1.002396,0.92265,0.936406,0.89984,1.013295,0.89931,blues
8.341972,7.731892,7.288199,4.835918,5.347727,3.798881,4.534393,4.758612,3.698658,3.847162,3.567861,3.615339,2.714485,3.06027,3.550117,2.190704,2.651489,2.246677,2.194924,2.156076,1.418428,1.989207,1.95534,1.895745,1.722605,1.172329,1.582996,1.753139,1.283234,1.091136,1.315318,1.152342,1.276442,1.117294,1.124662,1.041023,1.291692,1.161305,0.841284,0.745539,0.854138,0.960537,0.874292,0.779696,0.80221,0.713734,0.96174,0.836073,0.970984,0.724916,0.669189,0.796347,0.771311,0.641087,0.677209,0.794798,0.704392,0.610163,0.621052,0.637935,blues
9.109878,7.134787,5.481121,5.479946,4.606573,4.986442,4.746363,6.482702,3.538372,3.624802,3.731383,3.299263,3.664032,3.388949,3.526975,3.146059,2.829235,2.430618,2.287761,2.361284,2.006043,2.241377,2.182075,2.175878,1.879821,2.036745,1.853703,1.570903,1.794247,2.243685,2.184889,1.647505,1.502948,1.462442,1.403563,0.954153,1.219913,1.327518,1.288695,1.050244,1.151666,1.264459,1.1887,1.200369,1.055473,1.062595,1.214003,1.086719,1.006025,1.051288,0.852524,0.790751,0.952479,0.947314,1.134347,0.855285,0.920885,0.910177,0.901294,0.760882,blues
11.012349,11.36283,9.688647,6.240705,6.254588,6.13725,4.808851,5.199589,4.836274,3.61289,4.24503,4.203241,4.392552,4.154187,3.306909,3.564759,3.055215,3.693555,3.396621,2.786947,2.311897,2.666285,2.23867,2.250041,2.319176,2.379369,1.920064,1.508068,2.140779,1.609868,2.004651,1.749674,2.067242,1.467587,1.548228,2.142434,2.282163,1.706969,1.880751,1.626652,1.153735,1.410018,1.270312,1.267616,1.248058,1.288129,1.158729,1.139477,1.499766,1.11317,1.122725,1.333416,1.24587,1.173053,1.07168,1.27013,1.316007,1.14654,1.076034,1.049015,blues
9.886727,9.401041,8.068567,6.038736,5.777121,5.228157,4.621402,4.57224,3.761771,4.078421,4.89779,2.84312,4.760338,5.014751,4.057457,3.664681,3.045851,2.969011,2.613607,2.325283,2.939114,2.584322,2.943456,2.972164,3.168879,3.432168,2.139666,1.979436,2.127046,1.822687,2.018765,1.788763,1.69046,1.794847,1.873935,1.850439,2.077533,1.813752,1.724136,1.485521,1.698069,1.445156,1.423449,1.372395,1.491947,1.60393,1.142604,1.573349,1.556231,1.046498,1.564437,1.732762,1.505285,1.316228,1.365348,1.116304,1.193688,1.052741,1.145391,1.107448,blues
13.414101,8.813933,6.767203,6.323473,6.423964,5.63396,5.974278,5.280365,4.776991,4.577672,6.049482,4.870052,4.435803,4.273874,3.963814,3.898914,3.283021,3.258207,2.946153,3.227612,2.746445,3.07922,3.573109,2.864268,2.445653,2.330635,2.389756,2.173891,2.210535,2.337206,2.24289,1.845049,1.991301,2.473402,1.63752,1.741123,1.510777,1.700072,1.581109,1.688235,1.408859,1.477419,1.274142,1.546559,2.200197,1.636445,1.829302,1.355675,1.293664,1.357095,1.268631,1.22246,1.400807,1.081785,1.138778,1.438904,1.227384,1.271323,1.102116,1.027818,blues
7.786974,10.495314,5.289201,5.711509,5.652463,5.789877,4.933566,5.270538,5.068629,3.73067,3.981605,3.486208,3.45722,3.791943,4.0802,2.758181,2.292958,2.409193,1.771056,1.983836,1.692758,3.413381,2.748849,1.873056,1.617305,1.646976,1.79125,1.862502,1.622921,1.345638,1.41191,1.212774,1.543815,1.448278,1.615141,1.214935,1.745611,1.617042,1.353449,1.380776,1.162254,1.226397,1.071954,1.514078,1.20607,1.254019,0.939188,1.537373,1.548524,1.045742,1.008762,1.166265,0.997699,0.88575,1.046899,0.708758,0.842187,0.750529,1.009481,0.896575,blues
10.052505,8.272,7.653672,5.02428,4.828662,5.881708,5.524571,5.427845,4.440652,4.637943,4.437513,3.683703,4.780998,3.256657,3.034569,3.445867,2.829737,3.886953,3.261226,2.30632,2.911443,2.956223,2.657897,2.798595,2.60822,2.856888,2.351901,2.220172,1.649755,1.659993,1.918347,2.007836,2.085821,1.803381,1.729822,1.701235,1.811552,1.527951,1.739511,1.439002,1.731933,1.39137,1.394027,1.912327,1.605491,1.334265,1.229446,1.344415,1.272233,1.461442,1.728879,1.883436,1.276484,1.287174,1.255436,1.057259,1.034147,1.007744,0.964743,1.060739,blues
7.672049,7.002919,4.999136,6.06164,3.679794,3.330501,2.942881,3.269687,2.524072,2.248896,4.059953,3.792346,3.374251,2.336415,2.399287,2.52141,1.735124,2.202664,1.820378,1.963948,1.474103,1.504538,2.170229,1.976998,1.334017,1.136892,1.340088,1.250925,1.144022,1.049125,1.220877,1.05025,0.83938,1.213622,1.493129,0.868694,0.809363,0.70206,0.893719,0.905424,0.805913,0.838806,0.767313,0.656425,0.695222,0.977701,0.851276,0.611682,0.624594,0.658032,0.754452,0.633478,0.634946,0.597781,0.782184,0.655213,0.584445,0.743151,0.60925,0.622637,blues
