@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_lsp

@attribute Mean_Acc1000_Mean_Mem40_LSP_1_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_2_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_3_f2 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_4_f3 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_5_f4 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_6_f5 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_7_f6 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_8_f7 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_9_f8 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_10_f9 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_11_f10 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_12_f11 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_13_f12 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_14_f13 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_15_f14 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_16_f15 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_17_f16 numeric
@attribute Mean_Acc1000_Mean_Mem40_LSP_18_f17 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_1_f18 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_2_f19 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_3_f20 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_4_f21 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_5_f22 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_6_f23 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_7_f24 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_8_f25 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_9_f26 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_10_f27 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_11_f28 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_12_f29 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_13_f30 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_14_f31 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_15_f32 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_16_f33 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_17_f34 numeric
@attribute Mean_Acc1000_Std_Mem40_LSP_18_f35 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_1_f36 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_2_f37 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_3_f38 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_4_f39 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_5_f40 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_6_f41 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_7_f42 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_8_f43 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_9_f44 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_10_f45 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_11_f46 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_12_f47 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_13_f48 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_14_f49 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_15_f50 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_16_f51 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_17_f52 numeric
@attribute Std_Acc1000_Mean_Mem40_LSP_18_f53 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_1_f54 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_2_f55 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_3_f56 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_4_f57 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_5_f58 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_6_f59 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_7_f60 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_8_f61 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_9_f62 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_10_f63 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_11_f64 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_12_f65 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_13_f66 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_14_f67 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_15_f68 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_16_f69 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_17_f70 numeric
@attribute Std_Acc1000_Std_Mem40_LSP_18_f71 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.169308,0.244255,0.385189,0.527565,0.690068,0.828916,0.974911,1.151293,1.2993,1.451227,1.59705,1.759097,1.907481,2.034629,2.182325,2.313338,2.460676,2.648418,0.026074,0.034775,0.056952,0.062777,0.059016,0.057336,0.064927,0.058226,0.056759,0.059489,0.061801,0.069779,0.067561,0.074914,0.074752,0.080419,0.08616,0.129903,0.036054,0.037823,0.054495,0.079338,0.093111,0.116418,0.130143,0.140287,0.157308,0.171096,0.184652,0.20139,0.219607,0.235193,0.249001,0.262702,0.277928,0.299222,0.013569,0.020039,0.025839,0.033769,0.045342,0.055474,0.064213,0.080505,0.093954,0.106997,0.122876,0.136766,0.147188,0.156329,0.172347,0.183375,0.196857,0.208874,blues
0.111808,0.252153,0.420958,0.571825,0.735686,0.884225,1.043167,1.189826,1.357104,1.50357,1.663329,1.803342,1.951102,2.079284,2.215212,2.333683,2.475638,2.614659,0.046585,0.05506,0.067302,0.069953,0.076438,0.079119,0.073392,0.068595,0.066212,0.066516,0.064316,0.06634,0.067797,0.07082,0.069359,0.074659,0.070834,0.095155,0.022775,0.034346,0.058857,0.070515,0.088409,0.106396,0.12035,0.136853,0.154873,0.17274,0.188738,0.205548,0.222227,0.237726,0.253883,0.266742,0.28201,0.297548,0.013803,0.019249,0.024348,0.040628,0.051899,0.063077,0.076471,0.08951,0.103836,0.115457,0.131725,0.141983,0.153846,0.163392,0.174177,0.183521,0.196934,0.204643,blues
0.126579,0.25704,0.442589,0.578741,0.770302,0.872033,1.003902,1.097895,1.283021,1.443852,1.608571,1.750804,1.929325,2.067996,2.223434,2.331595,2.480177,2.629958,0.032802,0.058774,0.046343,0.061088,0.050973,0.058009,0.056366,0.069418,0.084189,0.079754,0.082769,0.0827,0.081027,0.07533,0.069221,0.068072,0.066511,0.09573,0.038413,0.056431,0.066692,0.079978,0.088241,0.101151,0.121037,0.134179,0.151549,0.164196,0.187782,0.205267,0.224045,0.23768,0.254435,0.265533,0.282129,0.296132,0.019416,0.021153,0.025194,0.037104,0.060627,0.06768,0.072388,0.077229,0.092861,0.112205,0.120099,0.130342,0.145004,0.159305,0.174085,0.184867,0.19795,0.21076,blues
0.117304,0.227028,0.432635,0.589838,0.780361,0.888526,1.035691,1.156979,1.378704,1.522459,1.701358,1.832186,1.998549,2.110558,2.25893,2.344497,2.496875,2.592656,0.029421,0.049592,0.046662,0.062955,0.045606,0.060468,0.078117,0.097739,0.075353,0.06626,0.065085,0.061636,0.059552,0.056832,0.05612,0.054281,0.059285,0.063124,0.028433,0.045979,0.056599,0.071978,0.090479,0.102087,0.121154,0.139426,0.158776,0.174384,0.194692,0.209268,0.227718,0.240232,0.256946,0.266714,0.284261,0.295067,0.014217,0.017374,0.02754,0.037851,0.056833,0.066925,0.075126,0.081123,0.102893,0.11639,0.131671,0.143514,0.158146,0.168238,0.181096,0.188607,0.200267,0.207787,blues
0.113235,0.223427,0.433339,0.57058,0.766411,0.885602,1.043301,1.166204,1.360757,1.510569,1.673141,1.808182,1.975752,2.103008,2.250653,2.348048,2.495331,2.619999,0.032944,0.04788,0.046788,0.066138,0.056545,0.056128,0.066524,0.084079,0.078337,0.072341,0.078143,0.078505,0.07496,0.065329,0.061866,0.058572,0.062292,0.078793,0.035319,0.049185,0.056373,0.084571,0.101143,0.110089,0.136695,0.158573,0.170986,0.186205,0.202395,0.215865,0.231177,0.242517,0.257744,0.267874,0.284505,0.29779,0.013724,0.021042,0.032024,0.035845,0.051715,0.061098,0.068661,0.074828,0.095842,0.106663,0.125297,0.138232,0.153067,0.16472,0.178308,0.187513,0.199539,0.209344,blues
0.136317,0.267576,0.434097,0.553739,0.778096,0.882166,1.015224,1.14154,1.344925,1.494627,1.663289,1.799617,1.972716,2.09648,2.246901,2.341891,2.490492,2.607043,0.03688,0.059227,0.055878,0.076152,0.052743,0.056663,0.069049,0.08659,0.083901,0.074871,0.081611,0.076758,0.074277,0.064687,0.061362,0.058033,0.063061,0.081534,0.035272,0.052757,0.063852,0.080083,0.091824,0.102419,0.119843,0.135217,0.155816,0.171366,0.190117,0.204997,0.22352,0.237895,0.255122,0.266246,0.282822,0.297624,0.014737,0.021067,0.039704,0.040748,0.057911,0.066969,0.076702,0.08812,0.102982,0.116055,0.129935,0.141775,0.156899,0.167272,0.180013,0.187989,0.20025,0.205374,blues
0.136787,0.258558,0.44528,0.548078,0.768802,0.882126,1.040403,1.15883,1.359513,1.511758,1.686606,1.81915,1.986701,2.105111,2.251977,2.3417,2.492951,2.600492,0.037865,0.056134,0.048769,0.069857,0.052131,0.060758,0.079537,0.093831,0.084324,0.071855,0.071558,0.06699,0.065098,0.0596,0.057937,0.055733,0.060708,0.0746,0.037347,0.040928,0.061295,0.07963,0.091022,0.107158,0.12756,0.144687,0.165592,0.179235,0.197258,0.211712,0.229084,0.241441,0.257857,0.267468,0.285019,0.296394,0.01415,0.021155,0.032918,0.03682,0.056063,0.059299,0.071341,0.078178,0.094745,0.11009,0.126623,0.138346,0.153613,0.165282,0.178139,0.186651,0.198276,0.206613,blues
0.111208,0.231051,0.440759,0.560248,0.739545,0.841508,0.97144,1.082537,1.300551,1.45302,1.622026,1.762254,1.930435,2.068914,2.219529,2.332309,2.476996,2.628482,0.028966,0.059229,0.059909,0.071212,0.057722,0.05735,0.063401,0.082119,0.074893,0.073145,0.074287,0.075507,0.070323,0.069414,0.065021,0.064919,0.066586,0.09574,0.021807,0.049417,0.05777,0.069354,0.091118,0.096943,0.110668,0.124934,0.1509,0.16672,0.186679,0.20169,0.220177,0.236159,0.252793,0.265093,0.28141,0.297886,0.008739,0.0157,0.035977,0.044803,0.053173,0.062943,0.073551,0.081253,0.095022,0.109188,0.122427,0.136345,0.151323,0.162598,0.176076,0.186233,0.19825,0.207065,blues
0.118589,0.249681,0.451846,0.596929,0.796796,0.922808,1.074275,1.19527,1.395351,1.537931,1.712892,1.84022,2.000523,2.112635,2.260275,2.345576,2.497725,2.592773,0.028537,0.056793,0.047379,0.065441,0.048379,0.061836,0.075321,0.087663,0.071935,0.066304,0.063682,0.061678,0.06192,0.058888,0.056822,0.055156,0.059477,0.062349,0.035389,0.057076,0.05724,0.078301,0.094067,0.108343,0.130156,0.149405,0.164584,0.176528,0.196221,0.20992,0.227812,0.240239,0.25681,0.266778,0.284065,0.295307,0.013708,0.020418,0.033173,0.040928,0.058694,0.069171,0.080612,0.092763,0.108441,0.120669,0.135198,0.146485,0.159463,0.169213,0.181905,0.188722,0.200956,0.207757,blues
0.136722,0.216553,0.41608,0.535986,0.74763,0.871596,1.019185,1.126253,1.290303,1.463204,1.646388,1.785063,1.952457,2.087853,2.23704,2.342381,2.486753,2.621837,0.032019,0.049181,0.04853,0.056617,0.056401,0.053014,0.058767,0.067618,0.086051,0.079841,0.070257,0.07333,0.070483,0.065866,0.062587,0.0627,0.06376,0.088554,0.049124,0.052941,0.055725,0.064871,0.090331,0.105353,0.128976,0.135704,0.148057,0.167752,0.190672,0.206469,0.225713,0.238727,0.254671,0.265612,0.282306,0.296249,0.01937,0.030126,0.03195,0.042305,0.051852,0.059136,0.06361,0.076951,0.097166,0.110635,0.125385,0.137423,0.152145,0.165605,0.178676,0.188358,0.200024,0.209589,blues
0.133786,0.235101,0.432445,0.568618,0.77254,0.884344,1.045645,1.191593,1.377265,1.529303,1.701789,1.836095,2.000865,2.114076,2.258688,2.345801,2.498441,2.595054,0.032379,0.051588,0.051296,0.060228,0.054045,0.050912,0.073435,0.079566,0.077566,0.064897,0.064461,0.06131,0.05838,0.056149,0.055445,0.054602,0.058944,0.064015,0.027747,0.032087,0.056741,0.071487,0.090149,0.101545,0.120477,0.138054,0.157093,0.17361,0.19305,0.208333,0.226855,0.239735,0.256461,0.266518,0.284136,0.29463,0.010186,0.0174,0.029368,0.042102,0.056998,0.066817,0.07965,0.090969,0.106646,0.120362,0.134768,0.146189,0.160219,0.16999,0.181898,0.189136,0.200893,0.20909,blues
0.113385,0.22542,0.423306,0.534125,0.757377,0.87619,1.018642,1.134076,1.335157,1.500491,1.67403,1.807809,1.971355,2.096606,2.244839,2.345399,2.493308,2.617949,0.036979,0.052049,0.045033,0.068058,0.06227,0.056431,0.074316,0.089384,0.089247,0.074765,0.070594,0.070059,0.069119,0.064273,0.061372,0.059234,0.062249,0.083126,0.04133,0.059791,0.057806,0.071374,0.090161,0.10309,0.117842,0.136596,0.157957,0.172021,0.192716,0.208461,0.226732,0.238856,0.255372,0.266088,0.283507,0.297489,0.018857,0.020816,0.028696,0.035888,0.054353,0.063422,0.075943,0.086927,0.102231,0.117107,0.132338,0.144335,0.157519,0.168669,0.180521,0.189174,0.200278,0.208066,blues
0.122541,0.222285,0.420089,0.539513,0.758081,0.879531,1.009075,1.111014,1.306203,1.482635,1.652895,1.792661,1.957842,2.085602,2.233148,2.338558,2.488523,2.626384,0.03062,0.047011,0.044531,0.061277,0.055773,0.056532,0.063689,0.084052,0.08789,0.07473,0.07032,0.071192,0.071273,0.066271,0.063809,0.062349,0.063857,0.087996,0.038002,0.045354,0.060339,0.073639,0.093557,0.103933,0.122798,0.142418,0.158533,0.173401,0.197411,0.211558,0.228174,0.240647,0.255811,0.266361,0.283151,0.298366,0.01481,0.023885,0.031162,0.036605,0.052986,0.061943,0.07216,0.074953,0.095599,0.110938,0.12178,0.135829,0.150681,0.163045,0.176963,0.186927,0.199351,0.208989,blues
0.11845,0.234879,0.441814,0.568299,0.744631,0.852023,1.004061,1.111852,1.291586,1.419183,1.57174,1.730606,1.910699,2.060935,2.233484,2.359019,2.513266,2.64935,0.024782,0.049149,0.046349,0.057536,0.055204,0.071686,0.066684,0.081093,0.079291,0.063746,0.081194,0.083584,0.073994,0.06506,0.06232,0.059896,0.061464,0.087303,0.026493,0.053339,0.055768,0.069795,0.088934,0.105111,0.12478,0.143043,0.150295,0.162651,0.182494,0.200576,0.218626,0.234844,0.253917,0.267806,0.284916,0.301007,0.013477,0.021994,0.030281,0.040537,0.052551,0.055883,0.068833,0.07672,0.096133,0.109305,0.120003,0.133105,0.150421,0.163334,0.178554,0.189628,0.203057,0.211117,blues
