@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_spfe

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f4 numeric
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f5 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f6 numeric
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f7 numeric
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f8 numeric
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f9 numeric
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f10 numeric
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f11 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.042629,0.073488,0.08176,0.01759,0.04686,0.028391,0.024569,0.053552,0.010666,0.014893,0.045984,0.00632,blues
0.03518,0.068984,0.08543,0.017836,0.070038,0.031273,0.019352,0.045579,0.011792,0.011573,0.063727,0.006405,blues
0.037265,0.064191,0.081985,0.021982,0.052578,0.027566,0.023958,0.048856,0.010817,0.019065,0.045054,0.004187,blues
0.038399,0.071878,0.084264,0.020803,0.06156,0.029829,0.025077,0.054761,0.011397,0.015279,0.056259,0.005581,blues
0.049084,0.090321,0.081818,0.022367,0.051918,0.029232,0.029595,0.065019,0.010411,0.019969,0.039452,0.004693,blues
0.041103,0.068509,0.083237,0.018775,0.042162,0.030976,0.019875,0.042092,0.010662,0.012438,0.028888,0.005447,blues
0.040176,0.067755,0.085434,0.038978,0.090758,0.032193,0.023119,0.046404,0.012118,0.046633,0.08664,0.007288,blues
0.031095,0.051412,0.084475,0.024189,0.063328,0.030143,0.012007,0.032161,0.012555,0.02587,0.071147,0.00476,blues
0.033045,0.053109,0.08072,0.020982,0.059965,0.031384,0.012014,0.032154,0.010035,0.023593,0.069029,0.004879,blues
0.033317,0.050454,0.077546,0.033307,0.065269,0.030672,0.026716,0.045261,0.011585,0.050747,0.083127,0.004926,blues
0.032333,0.054537,0.08122,0.022357,0.06336,0.029461,0.013946,0.03786,0.010498,0.025178,0.077461,0.004716,blues
0.033111,0.051921,0.084614,0.018472,0.053371,0.031734,0.010873,0.022268,0.012546,0.013034,0.043276,0.005349,blues
0.03428,0.057674,0.081428,0.016523,0.052023,0.029427,0.008191,0.0232,0.009698,0.01254,0.047688,0.004643,blues
0.027895,0.039414,0.082439,0.009917,0.030959,0.033227,0.006933,0.016808,0.010737,0.0063,0.038216,0.006114,blues
0.03965,0.060142,0.083644,0.022191,0.044631,0.03611,0.021333,0.037856,0.010989,0.015217,0.034819,0.00848,blues
0.032256,0.047629,0.08152,0.020862,0.048752,0.03186,0.017039,0.033287,0.011812,0.036097,0.069434,0.00613,blues
0.026425,0.039421,0.082653,0.015399,0.035753,0.034375,0.009568,0.022325,0.011459,0.018983,0.044867,0.005588,blues
0.059858,0.146495,0.084264,0.032864,0.121224,0.029483,0.01846,0.053512,0.010815,0.009779,0.028681,0.004542,blues
0.0618,0.157671,0.079499,0.034478,0.129698,0.026626,0.017303,0.059839,0.010438,0.014505,0.051205,0.004241,blues
0.064928,0.174041,0.078758,0.027823,0.096663,0.028396,0.025482,0.065644,0.009975,0.008939,0.024407,0.004986,blues
0.053228,0.1138,0.083486,0.028244,0.091256,0.026788,0.018395,0.05009,0.011026,0.010101,0.022137,0.004338,blues
0.052041,0.127878,0.082584,0.024647,0.094749,0.028566,0.013253,0.046279,0.010936,0.007633,0.038037,0.004456,blues
0.023121,0.024334,0.081355,0.008704,0.019697,0.026981,0.003733,0.006717,0.011021,0.002296,0.01767,0.00436,blues
0.030542,0.057219,0.07915,0.018764,0.097351,0.030132,0.008039,0.02449,0.010218,0.007142,0.047273,0.005079,blues
0.038508,0.064031,0.077122,0.016509,0.07829,0.026306,0.008257,0.026451,0.010066,0.008083,0.037279,0.003751,blues
0.063216,0.147947,0.079944,0.032089,0.097098,0.027015,0.020682,0.056684,0.010337,0.011261,0.022033,0.004903,blues
0.028462,0.044387,0.079642,0.015037,0.059247,0.029767,0.00989,0.033248,0.009597,0.009944,0.045953,0.005971,blues
0.05459,0.125084,0.080822,0.029175,0.088934,0.028976,0.01905,0.053185,0.010588,0.012254,0.033979,0.004883,blues
0.067986,0.182773,0.080986,0.027895,0.081487,0.02867,0.011623,0.033715,0.01074,0.00661,0.02312,0.004619,blues
0.040851,0.088334,0.083843,0.029638,0.094073,0.034123,0.025088,0.054572,0.011199,0.021143,0.046364,0.005544,blues
0.099607,0.215348,0.085099,0.044402,0.087397,0.030008,0.030907,0.060234,0.010302,0.011916,0.033498,0.005794,blues
0.071646,0.171999,0.082829,0.039522,0.0941,0.028147,0.022004,0.054486,0.011724,0.013479,0.029103,0.003658,blues
0.082418,0.195409,0.0804,0.042246,0.106532,0.027852,0.034016,0.063501,0.010572,0.015081,0.042387,0.003946,blues
0.04298,0.117186,0.080039,0.02722,0.121218,0.030461,0.01715,0.057005,0.011076,0.011032,0.059749,0.00555,blues
0.05875,0.134577,0.087663,0.036166,0.093745,0.032569,0.019366,0.043619,0.011029,0.010317,0.022355,0.005291,blues
0.073178,0.185372,0.082206,0.035327,0.106323,0.028807,0.021632,0.064513,0.011617,0.012819,0.040954,0.004592,blues
0.108281,0.236471,0.080384,0.059354,0.10838,0.029416,0.03857,0.069026,0.010133,0.017745,0.033558,0.004671,blues
0.063798,0.147484,0.083814,0.032544,0.076466,0.027696,0.023751,0.063742,0.011817,0.008539,0.01715,0.004923,blues
0.117802,0.293373,0.084114,0.059403,0.131645,0.028913,0.028515,0.063708,0.011596,0.010154,0.023144,0.003931,blues
0.090344,0.196722,0.082768,0.045601,0.118074,0.029269,0.041132,0.092086,0.011136,0.022138,0.033449,0.004949,blues
0.112069,0.284919,0.079586,0.052637,0.146999,0.027565,0.037265,0.087775,0.010891,0.019508,0.037999,0.004168,blues
0.102595,0.275385,0.078521,0.03958,0.109522,0.026366,0.017891,0.042204,0.011138,0.010163,0.022996,0.003441,blues
0.110441,0.269079,0.079971,0.044105,0.126756,0.025962,0.040644,0.088854,0.010807,0.021033,0.031996,0.004851,blues
0.091461,0.201425,0.084679,0.050886,0.129588,0.030279,0.035573,0.082012,0.010387,0.023416,0.041285,0.005436,blues
0.085099,0.183488,0.081981,0.039207,0.106243,0.026268,0.021583,0.060217,0.010366,0.014832,0.033084,0.004825,blues
0.094774,0.231212,0.078671,0.040856,0.130057,0.027949,0.021699,0.048594,0.009707,0.010148,0.027928,0.004156,blues
0.089727,0.199828,0.080122,0.035757,0.111869,0.026939,0.034093,0.080835,0.010121,0.015386,0.027534,0.005234,blues
0.078395,0.151197,0.090741,0.035425,0.090765,0.033349,0.026793,0.055543,0.012497,0.023879,0.0404,0.005221,blues
0.0928,0.235343,0.079484,0.035236,0.109536,0.026368,0.020865,0.04447,0.010563,0.010392,0.017744,0.004042,blues
0.083957,0.202779,0.076871,0.04131,0.147362,0.027343,0.025965,0.095031,0.009986,0.020289,0.042972,0.004637,blues
0.065167,0.153681,0.079361,0.027869,0.087758,0.026252,0.012932,0.035458,0.010426,0.008026,0.020451,0.004565,blues
0.077013,0.180754,0.082171,0.042025,0.137228,0.028383,0.014732,0.040527,0.010508,0.019041,0.028879,0.007609,blues
0.071419,0.17662,0.087333,0.046934,0.138888,0.034846,0.033257,0.071281,0.011744,0.021962,0.054828,0.00673,blues
0.094193,0.225844,0.080235,0.051704,0.119727,0.027134,0.023458,0.05307,0.010539,0.01642,0.037422,0.004925,blues
0.077608,0.171674,0.084744,0.035941,0.096539,0.028936,0.018774,0.043371,0.01145,0.010619,0.030042,0.004461,blues
0.087688,0.197809,0.083522,0.032223,0.081707,0.025972,0.013523,0.032058,0.010458,0.004091,0.018185,0.004272,blues
0.083518,0.200851,0.082856,0.037959,0.096951,0.026839,0.015708,0.043621,0.010536,0.012051,0.037189,0.003985,blues
0.067347,0.139244,0.084793,0.031187,0.07438,0.029795,0.015693,0.034847,0.010498,0.008183,0.022115,0.005377,blues
0.090457,0.207086,0.079767,0.029368,0.071209,0.026473,0.01758,0.038038,0.010297,0.004781,0.014617,0.004346,blues
0.075109,0.156683,0.084837,0.024627,0.067477,0.029925,0.011019,0.030289,0.010992,0.006291,0.021597,0.00589,blues
0.078847,0.200621,0.087467,0.041054,0.122521,0.029946,0.016503,0.038367,0.011033,0.00652,0.042369,0.004525,blues
0.080005,0.178961,0.083736,0.039363,0.08384,0.028759,0.014541,0.032713,0.011374,0.021861,0.048173,0.004208,blues
0.047205,0.087528,0.083834,0.024433,0.060532,0.030587,0.028771,0.049853,0.011182,0.01293,0.031449,0.005743,blues
0.039253,0.084801,0.089728,0.037097,0.120775,0.035919,0.027169,0.053561,0.011397,0.034249,0.079883,0.005916,blues
0.035817,0.068291,0.08484,0.024835,0.077961,0.032029,0.013425,0.036934,0.010008,0.019025,0.060079,0.00589,blues
0.021363,0.035015,0.088112,0.009286,0.041359,0.032592,0.004899,0.01065,0.011576,0.004278,0.045141,0.005458,blues
0.020119,0.06862,0.082217,0.011578,0.121235,0.034232,0.009987,0.064006,0.012679,0.013795,0.129359,0.009973,blues
0.045977,0.095525,0.089507,0.045171,0.125821,0.035848,0.022713,0.046254,0.012583,0.03231,0.056406,0.008488,blues
0.02511,0.06672,0.091562,0.025776,0.112928,0.042424,0.007944,0.036661,0.012369,0.013539,0.08027,0.007652,blues
0.026711,0.058218,0.084485,0.024782,0.087083,0.032287,0.019852,0.052082,0.012915,0.02919,0.093291,0.007038,blues
0.017958,0.042067,0.083135,0.009509,0.064327,0.035003,0.005774,0.027966,0.011028,0.010537,0.082879,0.009426,blues
0.041572,0.098284,0.080978,0.024951,0.091807,0.030753,0.032349,0.085728,0.011513,0.018801,0.067672,0.006577,blues
0.040489,0.081505,0.082836,0.025784,0.077339,0.028405,0.015278,0.034495,0.010739,0.019758,0.060009,0.004673,blues
0.040248,0.062475,0.078138,0.016586,0.036675,0.030421,0.020668,0.034918,0.010248,0.024851,0.047882,0.006183,blues
0.033141,0.075273,0.088964,0.021116,0.089378,0.033095,0.010015,0.03024,0.011106,0.008203,0.053571,0.007437,blues
0.091317,0.224964,0.082552,0.043152,0.111846,0.030784,0.033573,0.076963,0.010459,0.012983,0.031611,0.006358,blues
0.057966,0.09995,0.080884,0.020777,0.051225,0.027524,0.031713,0.053533,0.010419,0.011448,0.032062,0.005112,blues
0.078689,0.132201,0.074452,0.020559,0.036125,0.025738,0.014928,0.022262,0.00797,0.007356,0.015705,0.012613,classical
0.069851,0.10648,0.070682,0.01606,0.026259,0.026481,0.019119,0.02129,0.010009,0.009173,0.015287,0.003594,classical
0.069042,0.118038,0.076723,0.018274,0.02995,0.027329,0.016582,0.022536,0.0095,0.005133,0.011961,0.00462,classical
0.084871,0.150273,0.071561,0.01815,0.039229,0.025832,0.03028,0.057287,0.009615,0.006685,0.020555,0.004858,classical
0.092446,0.163391,0.073883,0.023432,0.050398,0.024868,0.020807,0.041301,0.009334,0.007005,0.01797,0.003987,classical
0.057924,0.113657,0.074704,0.017787,0.047066,0.024705,0.015477,0.036028,0.00985,0.008523,0.019076,0.003385,classical
0.058635,0.114973,0.071821,0.015887,0.04821,0.02464,0.017545,0.041129,0.009145,0.008547,0.027705,0.004201,classical
0.04671,0.130942,0.074846,0.015268,0.066892,0.026979,0.020156,0.14894,0.010515,0.008989,0.099594,0.004285,classical
0.05416,0.104082,0.075063,0.016474,0.044353,0.024512,0.015293,0.032617,0.010674,0.005226,0.013056,0.0034,classical
0.042389,0.074952,0.069453,0.011426,0.036894,0.023737,0.021518,0.040913,0.008904,0.010069,0.039912,0.004931,classical
0.062091,0.108281,0.076057,0.019069,0.039481,0.024459,0.021916,0.0379,0.010729,0.008587,0.017348,0.003958,classical
0.048568,0.087242,0.076386,0.0105,0.026919,0.027036,0.011065,0.028582,0.009409,0.006074,0.013125,0.005249,classical
0.050402,0.11908,0.078212,0.01196,0.061707,0.028261,0.016577,0.106251,0.010745,0.008055,0.10126,0.004596,classical
0.067228,0.123332,0.078258,0.022129,0.04695,0.02816,0.022964,0.042854,0.009392,0.010918,0.017938,0.005819,classical
0.058872,0.10687,0.0777,0.015724,0.041892,0.025444,0.012744,0.03047,0.009749,0.008026,0.015571,0.004907,classical
0.057267,0.139445,0.074113,0.017752,0.086847,0.024285,0.021401,0.091823,0.009478,0.008483,0.108527,0.004247,classical
0.032609,0.065205,0.076015,0.009797,0.042003,0.023736,0.010061,0.053954,0.011027,0.004895,0.083498,0.003941,classical
0.065594,0.110796,0.079481,0.014141,0.030269,0.026644,0.01248,0.021112,0.009637,0.00576,0.013242,0.005116,classical
0.05527,0.107892,0.074402,0.014616,0.045795,0.025043,0.018194,0.054894,0.009523,0.009865,0.046538,0.005618,classical
0.035631,0.143163,0.073206,0.012787,0.115213,0.024263,0.017921,0.160588,0.009327,0.006392,0.155019,0.003866,classical
0.054526,0.101042,0.079332,0.015398,0.037002,0.025739,0.01633,0.030851,0.010215,0.006894,0.013409,0.006048,classical
0.065383,0.117291,0.080494,0.01615,0.042119,0.02597,0.01614,0.038379,0.009648,0.005895,0.014508,0.004537,classical
0.058116,0.11578,0.079939,0.012996,0.04905,0.026624,0.015261,0.044242,0.01047,0.004116,0.085469,0.004868,classical
0.03116,0.0831,0.074816,0.006545,0.053884,0.025793,0.012087,0.114789,0.00973,0.003042,0.10899,0.004291,classical
0.053821,0.096969,0.081049,0.012098,0.027804,0.028199,0.011126,0.019827,0.009868,0.004046,0.008691,0.004992,classical
0.055957,0.095559,0.080473,0.014461,0.031933,0.028788,0.014036,0.024943,0.009944,0.006303,0.010763,0.005245,classical
0.069263,0.118,0.080393,0.016825,0.027815,0.028284,0.014647,0.021893,0.010353,0.00551,0.011917,0.005647,classical
0.047746,0.077142,0.077658,0.009754,0.019475,0.026598,0.012024,0.020245,0.010975,0.003676,0.009199,0.00434,classical
0.060325,0.110389,0.080082,0.015103,0.030125,0.029431,0.016466,0.02839,0.010992,0.006398,0.010762,0.006445,classical
0.068972,0.135755,0.078057,0.018306,0.042907,0.025479,0.027282,0.054945,0.010158,0.007511,0.015263,0.003655,classical
0.056135,0.108231,0.077936,0.017377,0.047225,0.025815,0.016302,0.040424,0.010001,0.007242,0.015904,0.004354,classical
0.036566,0.057987,0.086142,0.010455,0.0264,0.031591,0.010545,0.018581,0.011103,0.004305,0.013754,0.005915,classical
0.029319,0.044062,0.073635,0.004071,0.011941,0.023971,0.004806,0.010766,0.009326,0.002217,0.004608,0.004112,classical
0.042798,0.096412,0.075278,0.011337,0.062514,0.025508,0.02229,0.065,0.010515,0.008048,0.103943,0.003536,classical
0.058511,0.111901,0.077067,0.016065,0.041848,0.026627,0.029831,0.062796,0.009643,0.010769,0.021819,0.005525,classical
0.055841,0.102443,0.083498,0.019312,0.040021,0.031284,0.036648,0.071226,0.01131,0.012358,0.020818,0.007651,classical
0.051577,0.090825,0.077976,0.016209,0.042846,0.027113,0.021385,0.056122,0.009534,0.01782,0.042107,0.00502,classical
0.077869,0.146007,0.082312,0.023209,0.051831,0.028842,0.035451,0.065371,0.011849,0.009748,0.017568,0.005839,classical
0.05785,0.108533,0.075324,0.016785,0.037769,0.026698,0.015814,0.036028,0.010579,0.008409,0.015528,0.004659,classical
0.075715,0.160737,0.077604,0.024397,0.081877,0.024009,0.035794,0.078765,0.008467,0.011809,0.093573,0.006722,classical
0.056502,0.101968,0.076004,0.014465,0.030988,0.025678,0.017209,0.031616,0.010216,0.00661,0.015057,0.003897,classical
0.059758,0.117477,0.072766,0.015243,0.041431,0.025732,0.025166,0.051193,0.009774,0.008026,0.027358,0.004942,classical
0.078115,0.132956,0.071092,0.013313,0.024087,0.023025,0.011865,0.018578,0.008591,0.004955,0.009119,0.004145,classical
0.044147,0.063925,0.069106,0.007717,0.018626,0.023136,0.008911,0.017051,0.00907,0.005423,0.011105,0.003614,classical
0.061306,0.104335,0.069652,0.015062,0.035901,0.021825,0.014855,0.024963,0.008254,0.008233,0.015815,0.004094,classical
0.054309,0.083304,0.07279,0.012136,0.022702,0.024471,0.011849,0.015217,0.009569,0.006019,0.007869,0.004126,classical
0.082357,0.168394,0.072622,0.019031,0.042155,0.022176,0.016214,0.036431,0.009513,0.01087,0.019082,0.004124,classical
0.04858,0.084709,0.068142,0.009086,0.023703,0.021736,0.008735,0.020811,0.007572,0.005509,0.010098,0.007832,classical
0.069118,0.155883,0.07135,0.020615,0.048342,0.022691,0.030266,0.072439,0.008833,0.009772,0.019411,0.004064,classical
0.076346,0.154156,0.074934,0.01872,0.04541,0.024295,0.022435,0.039465,0.009461,0.006347,0.01598,0.005578,classical
0.0343,0.060117,0.070722,0.008251,0.034483,0.023506,0.010395,0.02123,0.008603,0.005168,0.053839,0.005859,classical
0.033483,0.162281,0.072698,0.012286,0.073041,0.02375,0.017962,0.246553,0.009188,0.009502,0.111798,0.004377,classical
0.083447,0.19195,0.078828,0.039694,0.114771,0.02583,0.028933,0.062401,0.010114,0.012361,0.057075,0.004777,classical
0.066965,0.134964,0.072829,0.018328,0.035217,0.024328,0.015798,0.022378,0.008757,0.004547,0.011693,0.004357,classical
0.092879,0.17025,0.0805,0.030256,0.054165,0.024696,0.025728,0.050463,0.009689,0.012828,0.03527,0.004927,classical
0.049323,0.084225,0.072927,0.010587,0.030894,0.024955,0.013326,0.038889,0.00905,0.007678,0.019103,0.006704,classical
0.063049,0.144735,0.069961,0.014288,0.040076,0.022441,0.017782,0.034503,0.009375,0.006769,0.015414,0.004799,classical
0.077506,0.142176,0.073701,0.026669,0.069543,0.025196,0.028926,0.064959,0.009852,0.021376,0.069378,0.005683,classical
0.067287,0.122721,0.070753,0.017071,0.036993,0.022471,0.019161,0.025002,0.008732,0.00796,0.049672,0.004079,classical
0.07623,0.149883,0.075643,0.024609,0.049665,0.023973,0.019273,0.036363,0.009622,0.007272,0.014783,0.003686,classical
0.076052,0.145691,0.07765,0.021703,0.044635,0.024652,0.019792,0.03779,0.009569,0.005706,0.012566,0.004084,classical
0.054267,0.103908,0.074885,0.022912,0.049826,0.023812,0.014112,0.027448,0.00866,0.00668,0.038768,0.00586,classical
0.055214,0.108039,0.079897,0.023895,0.061594,0.030303,0.025959,0.053838,0.0128,0.015253,0.043351,0.008817,classical
0.031564,0.040875,0.069559,0.005331,0.00643,0.022151,0.005388,0.006993,0.009176,0.002427,0.002908,0.004293,classical
0.035689,0.049561,0.070649,0.006794,0.009393,0.023444,0.011996,0.014227,0.009341,0.003151,0.00489,0.004622,classical
0.039861,0.054185,0.072282,0.00936,0.013235,0.023576,0.009591,0.016078,0.009208,0.004311,0.00698,0.004656,classical
0.039903,0.050486,0.071177,0.00724,0.009883,0.0232,0.007464,0.012586,0.009502,0.003259,0.007238,0.004873,classical
0.032849,0.078972,0.068468,0.009971,0.064579,0.02257,0.008127,0.09959,0.008793,0.008361,0.123244,0.00374,classical
0.075353,0.128739,0.072169,0.014847,0.026585,0.023636,0.014105,0.018169,0.009509,0.005787,0.015046,0.003823,classical
0.068629,0.120408,0.068841,0.014611,0.024444,0.021265,0.013397,0.020048,0.009051,0.006699,0.011106,0.002754,classical
0.054582,0.134259,0.076417,0.017261,0.067039,0.024828,0.017411,0.121807,0.009918,0.005427,0.097759,0.003895,classical
0.061774,0.113332,0.074307,0.014631,0.05021,0.022742,0.016923,0.044881,0.008865,0.007451,0.060324,0.004421,classical
0.045587,0.10613,0.070356,0.016521,0.068671,0.023827,0.017789,0.056758,0.009327,0.010169,0.078671,0.004577,classical
0.057993,0.094511,0.075351,0.013717,0.035987,0.026787,0.013191,0.026257,0.008844,0.006991,0.026011,0.007718,classical
0.053167,0.096713,0.074007,0.015209,0.040888,0.024367,0.013559,0.030337,0.009496,0.00781,0.027619,0.004878,classical
0.050132,0.100603,0.070434,0.015273,0.053573,0.022554,0.017827,0.051589,0.008721,0.007475,0.062366,0.00402,classical
0.05731,0.102156,0.076423,0.013961,0.033739,0.024114,0.016927,0.028486,0.009906,0.005617,0.009027,0.003834,classical
0.045442,0.058337,0.071299,0.008311,0.012923,0.030563,0.013145,0.02026,0.009636,0.006415,0.012093,0.01005,classical
0.037472,0.050537,0.072168,0.008024,0.009886,0.02634,0.006873,0.008749,0.009367,0.004084,0.006719,0.00541,classical
0.05122,0.064523,0.076982,0.012181,0.014877,0.033099,0.014805,0.017392,0.010396,0.005058,0.006641,0.005167,classical
0.01895,0.219653,0.072442,0.005845,0.189514,0.023436,0.010316,0.245783,0.00901,0.001518,0.21431,0.004275,classical
0.043726,0.07924,0.072406,0.012744,0.03816,0.02307,0.010904,0.020275,0.008461,0.004248,0.035306,0.004198,classical
0.069652,0.121869,0.070481,0.013022,0.030908,0.022584,0.024423,0.049463,0.009469,0.008734,0.014071,0.003531,classical
0.045422,0.069358,0.071923,0.006468,0.017367,0.025045,0.007708,0.015425,0.008784,0.003202,0.005524,0.004913,classical
0.047828,0.080346,0.070903,0.008308,0.024401,0.024024,0.008492,0.019927,0.008478,0.00538,0.009558,0.004563,classical
0.074416,0.132694,0.07804,0.016086,0.036832,0.026153,0.023303,0.041036,0.009782,0.007916,0.018928,0.005191,classical
0.065382,0.121495,0.080186,0.019553,0.044999,0.027769,0.022616,0.048365,0.009844,0.009572,0.02259,0.006236,classical
0.042829,0.067454,0.06826,0.006258,0.020733,0.023321,0.009962,0.022505,0.009278,0.003912,0.011166,0.004228,classical
0.055077,0.098907,0.077025,0.01391,0.033932,0.024144,0.012851,0.029067,0.009272,0.005145,0.011403,0.004605,classical
0.138648,0.233359,0.080224,0.034691,0.057755,0.026929,0.034109,0.044664,0.010955,0.008795,0.01367,0.005091,classical
0.114357,0.230297,0.078462,0.030178,0.062326,0.025138,0.029466,0.059096,0.010149,0.009031,0.021384,0.004174,classical
0.116702,0.226113,0.0785,0.032636,0.062242,0.025572,0.038516,0.053354,0.009906,0.010327,0.015373,0.004185,classical
0.103049,0.145896,0.079737,0.017739,0.044729,0.029927,0.06225,0.063908,0.011179,0.011478,0.02664,0.00649,classical
