@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_ctd

@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.053821,0.012098,0.011126,0.004046,classical
0.055957,0.014461,0.014036,0.006303,classical
0.069263,0.016825,0.014647,0.00551,classical
0.047746,0.009754,0.012024,0.003676,classical
0.060325,0.015103,0.016466,0.006398,classical
0.068972,0.018306,0.027282,0.007511,classical
0.056135,0.017377,0.016302,0.007242,classical
0.036566,0.010455,0.010545,0.004305,classical
0.029319,0.004071,0.004806,0.002217,classical
0.042798,0.011337,0.02229,0.008048,classical
0.058511,0.016065,0.029831,0.010769,classical
0.055841,0.019312,0.036648,0.012358,classical
0.051577,0.016209,0.021385,0.01782,classical
0.077869,0.023209,0.035451,0.009748,classical
0.05785,0.016785,0.015814,0.008409,classical
0.075715,0.024397,0.035794,0.011809,classical
0.056502,0.014465,0.017209,0.00661,classical
0.059758,0.015243,0.025166,0.008026,classical
0.078115,0.013313,0.011865,0.004955,classical
0.044147,0.007717,0.008911,0.005423,classical
0.061306,0.015062,0.014855,0.008233,classical
0.054309,0.012136,0.011849,0.006019,classical
0.082357,0.019031,0.016214,0.01087,classical
0.04858,0.009086,0.008735,0.005509,classical
0.069118,0.020615,0.030266,0.009772,classical
0.076346,0.01872,0.022435,0.006347,classical
0.0343,0.008251,0.010395,0.005168,classical
0.033483,0.012286,0.017962,0.009502,classical
0.083447,0.039694,0.028933,0.012361,classical
0.066965,0.018328,0.015798,0.004547,classical
0.092879,0.030256,0.025728,0.012828,classical
0.049323,0.010587,0.013326,0.007678,classical
0.063049,0.014288,0.017782,0.006769,classical
0.077506,0.026669,0.028926,0.021376,classical
0.067287,0.017071,0.019161,0.00796,classical
0.07623,0.024609,0.019273,0.007272,classical
0.076052,0.021703,0.019792,0.005706,classical
0.054267,0.022912,0.014112,0.00668,classical
0.055214,0.023895,0.025959,0.015253,classical
0.031564,0.005331,0.005388,0.002427,classical
0.035689,0.006794,0.011996,0.003151,classical
0.039861,0.00936,0.009591,0.004311,classical
0.039903,0.00724,0.007464,0.003259,classical
0.032849,0.009971,0.008127,0.008361,classical
0.075353,0.014847,0.014105,0.005787,classical
0.068629,0.014611,0.013397,0.006699,classical
0.054582,0.017261,0.017411,0.005427,classical
0.061774,0.014631,0.016923,0.007451,classical
0.045587,0.016521,0.017789,0.010169,classical
0.057993,0.013717,0.013191,0.006991,classical
0.053167,0.015209,0.013559,0.00781,classical
0.050132,0.015273,0.017827,0.007475,classical
0.05731,0.013961,0.016927,0.005617,classical
0.045442,0.008311,0.013145,0.006415,classical
0.037472,0.008024,0.006873,0.004084,classical
0.05122,0.012181,0.014805,0.005058,classical
0.01895,0.005845,0.010316,0.001518,classical
0.043726,0.012744,0.010904,0.004248,classical
0.069652,0.013022,0.024423,0.008734,classical
0.045422,0.006468,0.007708,0.003202,classical
0.047828,0.008308,0.008492,0.00538,classical
0.074416,0.016086,0.023303,0.007916,classical
0.065382,0.019553,0.022616,0.009572,classical
0.042829,0.006258,0.009962,0.003912,classical
0.055077,0.01391,0.012851,0.005145,classical
0.138648,0.034691,0.034109,0.008795,classical
0.114357,0.030178,0.029466,0.009031,classical
0.116702,0.032636,0.038516,0.010327,classical
0.103049,0.017739,0.06225,0.011478,classical
0.090178,0.026423,0.024317,0.006709,classical
0.051883,0.019532,0.022615,0.01072,classical
0.094152,0.028484,0.053163,0.014428,classical
0.075332,0.025822,0.027347,0.011483,classical
0.064845,0.01812,0.01978,0.009676,classical
0.090405,0.031342,0.032827,0.010048,classical
0.047711,0.016957,0.010439,0.00355,classical
0.060388,0.028997,0.021883,0.010277,country
0.079489,0.031368,0.013161,0.008176,country
0.054727,0.054287,0.024258,0.044714,country
0.066057,0.038567,0.023362,0.023702,country
0.076396,0.032794,0.0184,0.007863,country
0.093696,0.041702,0.018953,0.017925,country
0.082877,0.041976,0.020666,0.019941,country
0.062042,0.029402,0.017826,0.007463,country
0.065245,0.0277,0.013793,0.011061,country
0.100938,0.043132,0.01732,0.012391,country
0.059749,0.033554,0.026943,0.029839,country
0.096953,0.077683,0.055474,0.065439,country
0.045078,0.022125,0.009353,0.011605,country
0.093628,0.046197,0.028185,0.021369,country
0.094319,0.07584,0.041235,0.060424,country
0.06796,0.030093,0.041462,0.0228,country
0.045118,0.017309,0.013093,0.006014,country
0.042374,0.01306,0.015116,0.007268,country
0.069634,0.034162,0.023308,0.018485,country
0.042316,0.017932,0.022545,0.009212,country
0.067395,0.060963,0.032969,0.050721,country
0.033058,0.012514,0.006876,0.00574,country
0.053621,0.019485,0.015427,0.007722,country
0.030095,0.022733,0.028039,0.037481,country
0.076323,0.029421,0.039845,0.014743,country
0.046565,0.023857,0.024196,0.020581,country
0.036267,0.016876,0.009589,0.006631,country
0.075952,0.029564,0.016784,0.007738,country
0.047339,0.016648,0.017377,0.008011,country
0.043163,0.015229,0.011184,0.008101,country
0.032337,0.008074,0.00654,0.006621,country
0.069205,0.036122,0.02674,0.02539,country
0.041615,0.027099,0.017081,0.024853,country
0.08986,0.043629,0.038614,0.021899,country
0.08412,0.062283,0.023453,0.031529,country
0.071028,0.039204,0.018803,0.025519,country
0.045383,0.032318,0.024994,0.020492,country
0.058224,0.037824,0.025318,0.028891,country
0.075619,0.0373,0.017513,0.013986,country
0.159414,0.083403,0.030198,0.029588,country
0.071062,0.031421,0.016448,0.013267,country
0.061478,0.042031,0.026524,0.015965,country
0.052892,0.026487,0.013241,0.014654,country
0.101831,0.044457,0.023252,0.024609,country
0.047743,0.021739,0.024949,0.015149,country
0.100497,0.059533,0.023321,0.035085,country
0.090444,0.044118,0.029194,0.012689,country
0.076945,0.03257,0.025569,0.011794,country
0.04906,0.025498,0.011359,0.021446,country
0.06135,0.021489,0.018906,0.008385,country
0.049437,0.031127,0.019629,0.023605,country
0.038818,0.020112,0.017458,0.015009,country
0.023372,0.010799,0.014849,0.011863,country
0.066163,0.029687,0.013805,0.006913,country
0.034275,0.015816,0.012183,0.008023,country
0.053005,0.018458,0.010812,0.007149,country
0.040728,0.011506,0.025171,0.007697,country
0.045124,0.019734,0.018148,0.011621,country
0.041463,0.020767,0.010804,0.007001,country
0.030575,0.015052,0.013806,0.010106,country
0.02675,0.017185,0.016092,0.019575,country
0.030319,0.012252,0.012578,0.007659,country
0.065873,0.032635,0.013021,0.013851,country
0.035204,0.021418,0.014784,0.019499,country
0.044786,0.013955,0.013491,0.008796,country
0.033321,0.013869,0.014044,0.011247,country
0.07883,0.028009,0.020164,0.010313,country
0.03089,0.016448,0.013456,0.019512,country
0.037915,0.018922,0.011101,0.008823,country
0.038902,0.018538,0.015247,0.012886,country
0.070718,0.033666,0.020756,0.012877,country
0.050034,0.015399,0.024504,0.011636,country
0.065464,0.022605,0.014704,0.008565,country
0.047944,0.019493,0.018684,0.008737,country
0.045433,0.023086,0.022535,0.018284,country
0.07504,0.030079,0.022628,0.009372,country
0.060497,0.027423,0.030698,0.016089,country
0.069604,0.018244,0.017155,0.006759,country
0.031088,0.015609,0.021033,0.012269,country
0.041329,0.013396,0.022131,0.012131,country
0.058868,0.031514,0.023018,0.007783,country
0.065315,0.036679,0.019138,0.016879,country
0.070179,0.035565,0.014975,0.016506,country
0.041801,0.019824,0.014912,0.012721,country
0.06239,0.03022,0.018781,0.022609,country
0.047723,0.024923,0.018771,0.011579,country
0.05515,0.026387,0.013049,0.008567,country
0.050887,0.022884,0.021228,0.017509,country
0.041174,0.020332,0.012726,0.006088,country
0.034796,0.021209,0.013133,0.01605,country
0.06958,0.032949,0.017623,0.016069,country
0.048488,0.022961,0.024131,0.018272,country
0.078252,0.032591,0.017802,0.008509,country
0.054772,0.02769,0.020499,0.029084,country
0.04252,0.02408,0.010278,0.012757,country
0.048924,0.031109,0.027614,0.036664,country
0.060489,0.028629,0.02176,0.018848,country
0.04297,0.026603,0.024857,0.020866,country
0.045482,0.022039,0.012538,0.016302,country
0.068594,0.037416,0.020638,0.022137,country
0.102686,0.058234,0.024135,0.015577,hiphop
0.073466,0.070731,0.029677,0.026573,hiphop
0.041233,0.033375,0.014572,0.021773,hiphop
0.064755,0.055743,0.014217,0.013397,hiphop
0.070092,0.067333,0.031455,0.02346,hiphop
0.076464,0.050105,0.013189,0.012254,hiphop
0.092667,0.094788,0.047904,0.047153,hiphop
0.056377,0.045921,0.015189,0.021314,hiphop
0.132234,0.089145,0.06672,0.03932,hiphop
0.069976,0.052619,0.060068,0.03955,hiphop
0.103635,0.050837,0.032847,0.016551,hiphop
0.065237,0.050541,0.031847,0.033306,hiphop
0.056921,0.029112,0.011523,0.009853,hiphop
0.08249,0.036206,0.01684,0.012482,hiphop
0.09165,0.041877,0.034523,0.014951,hiphop
0.082452,0.047998,0.024421,0.020499,hiphop
0.085095,0.07205,0.037043,0.035575,hiphop
0.05032,0.036924,0.013888,0.011257,hiphop
0.124431,0.103628,0.059834,0.04365,hiphop
0.081686,0.058777,0.028552,0.022212,hiphop
0.078235,0.066038,0.042676,0.023399,hiphop
0.081161,0.053114,0.022911,0.024496,hiphop
0.048251,0.035463,0.016581,0.025718,hiphop
0.068543,0.032049,0.015654,0.010628,hiphop
0.114272,0.062735,0.025178,0.019949,hiphop
0.077769,0.062441,0.025076,0.019359,hiphop
0.145171,0.12046,0.041108,0.029004,hiphop
0.079751,0.078347,0.039054,0.054287,hiphop
0.087791,0.060873,0.022055,0.022675,hiphop
0.081327,0.067726,0.037744,0.029453,hiphop
0.108183,0.064495,0.018068,0.012764,hiphop
0.09378,0.067471,0.034264,0.033762,hiphop
0.047388,0.049867,0.02014,0.034055,hiphop
0.106041,0.074503,0.047225,0.055245,hiphop
0.112612,0.056313,0.026748,0.016438,hiphop
0.075518,0.08832,0.034029,0.036612,hiphop
0.110922,0.09269,0.093603,0.059206,hiphop
0.195089,0.148454,0.052997,0.044454,hiphop
0.127331,0.060085,0.124972,0.048515,hiphop
0.092617,0.092914,0.061824,0.065416,hiphop
0.079278,0.063421,0.095849,0.073503,hiphop
0.085803,0.065535,0.022557,0.031151,hiphop
0.07598,0.070285,0.035365,0.031402,hiphop
0.041667,0.035748,0.017841,0.024462,hiphop
0.141457,0.070828,0.054905,0.0488,hiphop
0.092617,0.092914,0.061824,0.065416,hiphop
0.067686,0.064008,0.021874,0.025719,hiphop
0.085443,0.105192,0.04327,0.054927,hiphop
0.043413,0.03789,0.017743,0.018787,hiphop
0.066702,0.059346,0.016778,0.021723,hiphop
0.027234,0.023892,0.007439,0.009846,hiphop
0.068613,0.078421,0.028906,0.036131,hiphop
0.047751,0.048734,0.028355,0.038916,hiphop
0.073178,0.068167,0.032221,0.029935,hiphop
0.089008,0.083773,0.031005,0.044866,hiphop
0.05366,0.044344,0.018016,0.015777,hiphop
0.040213,0.030903,0.007302,0.004844,hiphop
0.031012,0.028608,0.007113,0.0082,hiphop
0.096753,0.087795,0.028168,0.026963,hiphop
0.041898,0.034117,0.020924,0.014099,hiphop
0.036559,0.032456,0.023998,0.01405,hiphop
0.04389,0.036016,0.014843,0.014521,hiphop
0.086463,0.110201,0.042377,0.046212,hiphop
0.100041,0.098978,0.029045,0.032015,hiphop
0.061163,0.054462,0.033067,0.031024,hiphop
0.066555,0.094944,0.027684,0.046124,hiphop
0.054405,0.049679,0.025456,0.031533,hiphop
0.094179,0.101839,0.042296,0.038176,hiphop
0.061611,0.052386,0.017722,0.015956,hiphop
0.08392,0.085004,0.036787,0.047087,hiphop
0.041256,0.04422,0.012824,0.019435,hiphop
0.075261,0.092557,0.046796,0.064466,hiphop
0.025872,0.021883,0.00683,0.006568,hiphop
0.067541,0.070782,0.068717,0.073992,hiphop
0.069649,0.057974,0.026905,0.017412,hiphop
0.11716,0.133331,0.054064,0.060593,hiphop
0.07406,0.081299,0.023588,0.031393,hiphop
0.09369,0.07714,0.029337,0.032081,hiphop
0.07406,0.081299,0.023588,0.031393,hiphop
0.138741,0.11398,0.03726,0.044892,hiphop
0.113139,0.096261,0.034194,0.052704,hiphop
0.028833,0.024534,0.008595,0.008196,hiphop
0.077664,0.064742,0.022803,0.013823,hiphop
0.078921,0.056879,0.023647,0.015217,hiphop
0.082228,0.066852,0.025958,0.021452,hiphop
0.089073,0.063466,0.019532,0.019309,hiphop
0.050736,0.049326,0.018116,0.02063,hiphop
0.05717,0.054859,0.034076,0.027322,hiphop
0.101254,0.061087,0.024839,0.02296,hiphop
0.073218,0.053453,0.021192,0.013115,hiphop
0.070043,0.042393,0.018238,0.012562,hiphop
0.097762,0.06568,0.030386,0.027519,hiphop
0.040787,0.032451,0.012809,0.00772,hiphop
0.116032,0.080683,0.04291,0.018001,hiphop
0.035087,0.026803,0.010943,0.009965,hiphop
0.112219,0.06448,0.024394,0.012176,hiphop
0.059501,0.030562,0.011255,0.005653,hiphop
0.055291,0.034453,0.022877,0.011102,hiphop
0.067933,0.059639,0.024545,0.020021,hiphop
0.079976,0.062691,0.027216,0.023393,hiphop
0.102686,0.058234,0.024135,0.015577,hiphop
0.073466,0.070731,0.029677,0.026573,hiphop
0.041233,0.033375,0.014572,0.021773,hiphop
0.064755,0.055743,0.014217,0.013397,hiphop
0.070092,0.067333,0.031455,0.02346,hiphop
0.076464,0.050105,0.013189,0.012254,hiphop
0.092667,0.094788,0.047904,0.047153,hiphop
0.056377,0.045921,0.015189,0.021314,hiphop
0.132234,0.089145,0.06672,0.03932,hiphop
0.069976,0.052619,0.060068,0.03955,hiphop
0.103635,0.050837,0.032847,0.016551,hiphop
0.065237,0.050541,0.031847,0.033306,hiphop
0.056921,0.029112,0.011523,0.009853,hiphop
0.08249,0.036206,0.01684,0.012482,hiphop
0.09165,0.041877,0.034523,0.014951,hiphop
0.082452,0.047998,0.024421,0.020499,hiphop
0.085095,0.07205,0.037043,0.035575,hiphop
0.05032,0.036924,0.013888,0.011257,hiphop
0.124431,0.103628,0.059834,0.04365,hiphop
0.081686,0.058777,0.028552,0.022212,hiphop
0.078235,0.066038,0.042676,0.023399,hiphop
0.081161,0.053114,0.022911,0.024496,hiphop
0.048251,0.035463,0.016581,0.025718,hiphop
0.068543,0.032049,0.015654,0.010628,hiphop
0.114272,0.062735,0.025178,0.019949,hiphop
0.077769,0.062441,0.025076,0.019359,hiphop
0.145171,0.12046,0.041108,0.029004,hiphop
0.079751,0.078347,0.039054,0.054287,hiphop
0.087791,0.060873,0.022055,0.022675,hiphop
0.081327,0.067726,0.037744,0.029453,hiphop
0.108183,0.064495,0.018068,0.012764,hiphop
0.09378,0.067471,0.034264,0.033762,hiphop
0.047388,0.049867,0.02014,0.034055,hiphop
0.106041,0.074503,0.047225,0.055245,hiphop
0.112612,0.056313,0.026748,0.016438,hiphop
0.075518,0.08832,0.034029,0.036612,hiphop
0.110922,0.09269,0.093603,0.059206,hiphop
0.195089,0.148454,0.052997,0.044454,hiphop
0.127331,0.060085,0.124972,0.048515,hiphop
0.092617,0.092914,0.061824,0.065416,hiphop
0.079278,0.063421,0.095849,0.073503,hiphop
0.085803,0.065535,0.022557,0.031151,hiphop
0.07598,0.070285,0.035365,0.031402,hiphop
0.041667,0.035748,0.017841,0.024462,hiphop
0.141457,0.070828,0.054905,0.0488,hiphop
0.092617,0.092914,0.061824,0.065416,hiphop
0.067686,0.064008,0.021874,0.025719,hiphop
0.085443,0.105192,0.04327,0.054927,hiphop
0.043413,0.03789,0.017743,0.018787,hiphop
0.066702,0.059346,0.016778,0.021723,hiphop
0.027234,0.023892,0.007439,0.009846,hiphop
0.068613,0.078421,0.028906,0.036131,hiphop
0.047751,0.048734,0.028355,0.038916,hiphop
0.073178,0.068167,0.032221,0.029935,hiphop
0.089008,0.083773,0.031005,0.044866,hiphop
0.05366,0.044344,0.018016,0.015777,hiphop
0.040213,0.030903,0.007302,0.004844,hiphop
0.031012,0.028608,0.007113,0.0082,hiphop
0.096753,0.087795,0.028168,0.026963,hiphop
0.041898,0.034117,0.020924,0.014099,hiphop
0.036559,0.032456,0.023998,0.01405,hiphop
0.04389,0.036016,0.014843,0.014521,hiphop
0.086463,0.110201,0.042377,0.046212,hiphop
0.100041,0.098978,0.029045,0.032015,hiphop
0.061163,0.054462,0.033067,0.031024,hiphop
0.066555,0.094944,0.027684,0.046124,hiphop
0.054405,0.049679,0.025456,0.031533,hiphop
0.094179,0.101839,0.042296,0.038176,hiphop
0.061611,0.052386,0.017722,0.015956,hiphop
0.08392,0.085004,0.036787,0.047087,hiphop
0.041256,0.04422,0.012824,0.019435,hiphop
0.075261,0.092557,0.046796,0.064466,hiphop
0.025872,0.021883,0.00683,0.006568,hiphop
0.067541,0.070782,0.068717,0.073992,hiphop
0.069649,0.057974,0.026905,0.017412,hiphop
0.11716,0.133331,0.054064,0.060593,hiphop
0.07406,0.081299,0.023588,0.031393,hiphop
0.09369,0.07714,0.029337,0.032081,hiphop
0.07406,0.081299,0.023588,0.031393,hiphop
0.138741,0.11398,0.03726,0.044892,hiphop
0.113139,0.096261,0.034194,0.052704,hiphop
0.028833,0.024534,0.008595,0.008196,hiphop
0.077664,0.064742,0.022803,0.013823,hiphop
0.078921,0.056879,0.023647,0.015217,hiphop
0.082228,0.066852,0.025958,0.021452,hiphop
0.089073,0.063466,0.019532,0.019309,hiphop
0.050736,0.049326,0.018116,0.02063,hiphop
0.05717,0.054859,0.034076,0.027322,hiphop
0.101254,0.061087,0.024839,0.02296,hiphop
0.073218,0.053453,0.021192,0.013115,hiphop
0.070043,0.042393,0.018238,0.012562,hiphop
0.097762,0.06568,0.030386,0.027519,hiphop
0.040787,0.032451,0.012809,0.00772,hiphop
0.116032,0.080683,0.04291,0.018001,hiphop
0.035087,0.026803,0.010943,0.009965,hiphop
0.112219,0.06448,0.024394,0.012176,hiphop
0.059501,0.030562,0.011255,0.005653,hiphop
0.055291,0.034453,0.022877,0.011102,hiphop
0.067933,0.059639,0.024545,0.020021,hiphop
0.079976,0.062691,0.027216,0.023393,hiphop
0.069841,0.030322,0.030268,0.020436,jazz
0.046479,0.018823,0.020504,0.01146,jazz
0.055351,0.010634,0.029913,0.007535,jazz
0.037987,0.008641,0.01074,0.003606,jazz
0.036883,0.009472,0.015947,0.007255,jazz
0.047196,0.020279,0.016631,0.004769,jazz
0.044682,0.017468,0.021919,0.009013,jazz
0.056938,0.014699,0.022574,0.009036,jazz
0.030309,0.015634,0.013242,0.012227,jazz
0.029963,0.007459,0.008236,0.003741,jazz
0.030558,0.00921,0.017061,0.007249,jazz
0.062548,0.027232,0.020858,0.011395,jazz
0.046033,0.020664,0.016991,0.009321,jazz
0.038689,0.015443,0.009382,0.004603,jazz
0.0636,0.017756,0.032459,0.015048,jazz
0.054505,0.027068,0.016962,0.009296,jazz
0.066324,0.022243,0.033118,0.015246,jazz
0.06345,0.03119,0.02213,0.011762,jazz
0.062296,0.024521,0.015055,0.007986,jazz
0.048853,0.013774,0.015409,0.005907,jazz
0.024245,0.011479,0.014705,0.008295,jazz
0.130784,0.06571,0.062075,0.02849,jazz
0.042524,0.012987,0.014838,0.008031,jazz
0.064293,0.02084,0.021166,0.010285,jazz
0.071279,0.034644,0.030791,0.024385,jazz
0.038773,0.017235,0.011045,0.00692,jazz
0.035621,0.007081,0.015759,0.00618,jazz
0.044085,0.023237,0.017713,0.009105,jazz
0.059125,0.023125,0.01527,0.009606,jazz
0.068919,0.028488,0.016014,0.010008,jazz
0.0627,0.018157,0.03861,0.013455,jazz
0.06147,0.026381,0.022811,0.008927,jazz
0.04319,0.020507,0.018461,0.013685,jazz
0.03155,0.014328,0.010109,0.00605,jazz
0.070165,0.044574,0.035098,0.023176,jazz
0.031334,0.007298,0.007339,0.003118,jazz
0.081947,0.035684,0.022475,0.012423,jazz
0.042926,0.020437,0.011211,0.006894,jazz
0.04851,0.018557,0.013899,0.007033,jazz
0.057298,0.026965,0.019458,0.010423,jazz
0.049255,0.017908,0.012431,0.008669,jazz
0.088858,0.040068,0.027244,0.014462,jazz
0.052174,0.018214,0.020368,0.014611,jazz
0.071664,0.02614,0.020764,0.006543,jazz
0.037554,0.018844,0.015645,0.009294,jazz
0.035182,0.008884,0.009216,0.004125,jazz
0.050484,0.01861,0.011323,0.008038,jazz
0.065312,0.033046,0.021595,0.021076,jazz
0.05665,0.020185,0.015251,0.005355,jazz
0.053643,0.022738,0.022062,0.027706,jazz
0.041079,0.020333,0.009804,0.005131,jazz
0.031575,0.014349,0.010106,0.006069,jazz
0.045985,0.026614,0.020235,0.013595,jazz
0.070325,0.044754,0.035358,0.023527,jazz
0.049741,0.016195,0.012359,0.004106,jazz
0.031339,0.007299,0.007339,0.003117,jazz
0.070522,0.044351,0.018375,0.01457,jazz
0.045459,0.012991,0.019776,0.00963,jazz
0.081984,0.035674,0.022482,0.012424,jazz
0.028712,0.016311,0.01588,0.010521,jazz
0.043327,0.021102,0.01119,0.00719,jazz
