@relation gtzan_blues_classic_country_disco_hiphop_jazz_metal_pop_reggae_rock_zcrs

@attribute Mean_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f0 numeric
@attribute Mean_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f1 numeric
@attribute Std_Acc1000_Mean_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f2 numeric
@attribute Std_Acc1000_Std_Mem40_ZeroCrossings_HopSize512_WinSize512_AudioCh0_f3 numeric
@attribute class {blues,classical,country,hiphop,jazz,metal,pop,reggae,rock}

@data
0.106488,0.055029,0.036474,0.019413,blues
0.13681,0.053966,0.027189,0.016083,blues
0.11019,0.040837,0.021312,0.011283,blues
0.122958,0.034688,0.017807,0.005506,blues
0.123989,0.042441,0.018975,0.013787,blues
0.092198,0.036669,0.019469,0.01022,blues
0.125626,0.032525,0.0208,0.006645,blues
0.104741,0.02888,0.015679,0.007283,blues
0.118853,0.046048,0.018601,0.007764,blues
0.111443,0.042762,0.01789,0.022283,blues
0.064227,0.029499,0.034155,0.013046,blues
0.053946,0.046773,0.031977,0.034642,blues
0.051425,0.031402,0.018397,0.020732,blues
0.032136,0.015714,0.007352,0.004855,blues
0.025789,0.015197,0.012991,0.011774,blues
0.064989,0.050541,0.026954,0.032034,blues
0.035736,0.03033,0.010356,0.008027,blues
0.034941,0.029225,0.025383,0.031374,blues
0.022899,0.010756,0.007383,0.005958,blues
0.059094,0.032393,0.043435,0.019141,blues
0.056638,0.032878,0.019209,0.021558,blues
0.049772,0.02142,0.022851,0.024414,blues
0.051965,0.0322,0.015719,0.010155,blues
0.129076,0.043737,0.035906,0.009869,blues
0.073979,0.026023,0.032393,0.013027,blues
0.098021,0.02196,0.015517,0.008968,classical
0.083579,0.018109,0.019014,0.010198,classical
0.088241,0.020706,0.017505,0.005738,classical
0.105994,0.021334,0.033167,0.008645,classical
0.111684,0.027764,0.023608,0.00962,classical
0.076453,0.023116,0.01965,0.009439,classical
0.078081,0.021531,0.022146,0.009605,classical
0.064133,0.020607,0.025208,0.009469,classical
0.071669,0.021542,0.016972,0.005792,classical
0.060113,0.017999,0.025368,0.010646,classical
0.079693,0.022749,0.023523,0.008549,classical
0.061542,0.014447,0.014685,0.007477,classical
0.062782,0.016378,0.019902,0.008499,classical
0.083663,0.026382,0.025245,0.010856,classical
0.072603,0.021277,0.016207,0.009735,classical
0.075522,0.020096,0.02287,0.009241,classical
0.041082,0.013373,0.014475,0.006566,classical
0.079796,0.016902,0.014394,0.005896,classical
0.073841,0.018692,0.027144,0.010397,classical
0.048667,0.016121,0.022478,0.006665,classical
0.070092,0.020166,0.018913,0.007191,classical
0.082255,0.020938,0.021204,0.007169,classical
0.073158,0.01628,0.017656,0.004614,classical
0.043822,0.011853,0.016003,0.00478,classical
0.06932,0.01598,0.013421,0.004428,classical
0.069796,0.018322,0.017417,0.006833,classical
0.083905,0.019575,0.015457,0.00658,classical
0.059209,0.013126,0.01326,0.00438,classical
0.076421,0.018876,0.020043,0.006862,classical
0.089357,0.022071,0.031931,0.006998,classical
0.070697,0.024582,0.021387,0.009021,classical
0.045539,0.01462,0.012192,0.005434,classical
0.034259,0.006561,0.005744,0.002795,classical
0.05254,0.016573,0.025821,0.009374,classical
0.074161,0.021802,0.03517,0.011346,classical
0.069538,0.023205,0.043318,0.012832,classical
0.062197,0.022107,0.028375,0.021244,classical
0.095332,0.027898,0.038308,0.01079,classical
0.072109,0.021584,0.020058,0.009538,classical
0.099,0.028602,0.044759,0.013018,classical
0.070838,0.01951,0.020996,0.0074,classical
0.076106,0.019003,0.03061,0.009313,classical
0.092845,0.01639,0.014627,0.005459,classical
0.051742,0.012554,0.010952,0.008902,classical
0.073814,0.020381,0.016903,0.00996,classical
0.063647,0.015559,0.012498,0.006127,classical
0.111588,0.023286,0.022136,0.011537,classical
0.060455,0.013482,0.011773,0.005929,classical
0.095356,0.025463,0.040241,0.011305,classical
0.10036,0.021999,0.024766,0.007052,classical
0.046789,0.012793,0.011469,0.005959,classical
0.050228,0.018204,0.026469,0.012839,classical
0.119565,0.046874,0.030611,0.014412,classical
0.088493,0.02342,0.01598,0.006921,classical
0.116995,0.034636,0.030753,0.013755,classical
0.056982,0.014633,0.018534,0.00991,classical
0.089141,0.018592,0.019894,0.007745,classical
0.09424,0.029634,0.034735,0.021387,classical
0.085713,0.019998,0.02309,0.010241,classical
0.096156,0.028086,0.021747,0.008528,classical
0.097361,0.02673,0.021986,0.006386,classical
0.071201,0.026919,0.016708,0.009299,classical
0.072205,0.025878,0.032207,0.014078,classical
0.03659,0.006556,0.005743,0.002616,classical
0.042501,0.008846,0.012346,0.002841,classical
0.045548,0.01127,0.011371,0.005152,classical
0.045451,0.008789,0.007656,0.004513,classical
0.042719,0.012237,0.010197,0.00884,classical
0.091532,0.018269,0.015569,0.007018,classical
0.083498,0.017601,0.015758,0.006489,classical
0.069706,0.021044,0.019865,0.005919,classical
0.075595,0.019334,0.019156,0.00732,classical
0.065495,0.021756,0.023203,0.009847,classical
0.068993,0.017548,0.015168,0.007987,classical
0.068979,0.019248,0.017535,0.008805,classical
0.065141,0.018479,0.023922,0.007966,classical
0.072955,0.018261,0.019941,0.004862,classical
0.048973,0.00961,0.01396,0.006277,classical
0.041497,0.009457,0.008107,0.004225,classical
0.056552,0.013371,0.016068,0.00551,classical
0.027092,0.008828,0.012703,0.002118,classical
0.055402,0.016804,0.014205,0.005403,classical
0.083565,0.017367,0.029248,0.008682,classical
0.051818,0.009572,0.009143,0.003642,classical
0.057158,0.012778,0.011333,0.006337,classical
0.090948,0.020215,0.027204,0.009205,classical
0.082064,0.023357,0.029067,0.009287,classical
0.05008,0.009428,0.012766,0.004197,classical
0.067214,0.017956,0.0162,0.005966,classical
0.162244,0.034329,0.032571,0.008831,classical
0.144526,0.035949,0.034086,0.010322,classical
0.146537,0.037833,0.038229,0.012044,classical
0.115483,0.020641,0.054715,0.012607,classical
0.106632,0.027054,0.022526,0.008027,classical
0.076945,0.024735,0.0281,0.011292,classical
0.120184,0.031231,0.061324,0.014542,classical
0.103201,0.03071,0.028971,0.012088,classical
0.08146,0.022193,0.024199,0.011086,classical
0.11957,0.035843,0.035912,0.009876,classical
0.081676,0.022405,0.016045,0.004767,classical
0.101153,0.040788,0.031093,0.011501,country
0.126357,0.038352,0.018402,0.010834,country
0.075842,0.061261,0.027823,0.043686,country
0.098915,0.048082,0.026739,0.024248,country
0.122802,0.04057,0.02448,0.008495,country
0.136435,0.045243,0.022843,0.018786,country
0.126693,0.053222,0.02964,0.022843,country
0.108496,0.042603,0.02567,0.009657,country
0.107785,0.03524,0.021386,0.012929,country
0.1538,0.04717,0.022682,0.01566,country
0.080131,0.040522,0.031349,0.029105,country
0.116,0.078771,0.056467,0.058768,country
0.062741,0.032624,0.013025,0.014851,country
0.129299,0.05186,0.030368,0.018802,country
0.127731,0.074813,0.045019,0.051914,country
0.093807,0.035054,0.039918,0.017195,country
0.058224,0.0253,0.014859,0.006517,country
0.060428,0.017724,0.025469,0.009395,country
0.095449,0.03929,0.027561,0.01922,country
0.054056,0.022566,0.025863,0.008484,country
0.092254,0.066594,0.036269,0.047097,country
0.043536,0.016667,0.009393,0.006795,country
0.07183,0.024867,0.020004,0.008098,country
0.03913,0.028754,0.030816,0.036167,country
0.092736,0.031515,0.040685,0.013397,country
0.064697,0.029712,0.027482,0.022865,country
0.051725,0.021863,0.01275,0.007191,country
0.103019,0.031881,0.018869,0.007931,country
0.062973,0.021739,0.018722,0.007897,country
0.055177,0.019354,0.013251,0.009178,country
0.040777,0.011843,0.00884,0.009574,country
0.093551,0.040735,0.030304,0.025514,country
0.06776,0.036818,0.02319,0.026083,country
0.11686,0.048652,0.042903,0.020302,country
0.115074,0.067977,0.024656,0.028992,country
0.102347,0.044781,0.023696,0.027745,country
0.067754,0.041825,0.029595,0.019327,country
0.085785,0.043888,0.031091,0.031053,country
0.113637,0.038847,0.023056,0.01435,country
0.207812,0.080456,0.033553,0.024396,country
0.103476,0.037259,0.022561,0.013852,country
0.094887,0.052653,0.030304,0.013258,country
0.085237,0.036695,0.017604,0.014569,country
0.13308,0.048329,0.026465,0.022162,country
0.067026,0.029292,0.030259,0.018978,country
0.13176,0.061147,0.025946,0.032397,country
0.113817,0.044338,0.029401,0.013617,country
0.097003,0.034752,0.027738,0.010336,country
0.068781,0.031882,0.014936,0.019691,country
0.077572,0.026424,0.019708,0.011087,country
0.077883,0.042424,0.021927,0.027504,country
0.055915,0.027008,0.023568,0.016271,country
0.036448,0.017632,0.019247,0.015105,country
0.102911,0.03876,0.018064,0.007774,country
0.060345,0.024129,0.016498,0.008259,country
0.081111,0.023686,0.014183,0.01038,country
0.06076,0.019681,0.029297,0.007225,country
0.067825,0.029387,0.024568,0.014984,country
0.067452,0.033143,0.016929,0.009805,country
0.049229,0.026069,0.022624,0.012991,country
0.045161,0.028334,0.023055,0.021504,country
0.046475,0.02303,0.01636,0.011189,country
0.098954,0.041812,0.018657,0.015855,country
0.056555,0.032188,0.021451,0.018329,country
0.060691,0.018684,0.016072,0.01184,country
0.040556,0.016647,0.015173,0.011106,country
0.098005,0.025981,0.019464,0.008353,country
0.037217,0.019582,0.015111,0.020202,country
0.054066,0.02295,0.013954,0.010095,country
0.059922,0.023914,0.021216,0.010827,country
0.098375,0.037424,0.024733,0.013224,country
0.060923,0.01842,0.027266,0.012289,country
0.084465,0.024686,0.017326,0.008269,country
0.070105,0.027459,0.020823,0.007288,country
0.062709,0.027727,0.026349,0.017189,country
0.111704,0.035397,0.027753,0.010082,country
0.073985,0.031779,0.033006,0.014114,country
0.085702,0.018802,0.019268,0.006885,country
0.043538,0.02187,0.02569,0.012456,country
0.04799,0.015496,0.021951,0.011063,country
0.087152,0.040931,0.023152,0.01157,country
0.096132,0.043997,0.023072,0.018386,country
0.103549,0.045742,0.019259,0.016856,country
0.059609,0.028176,0.018919,0.01691,country
0.09125,0.038437,0.023227,0.020396,country
0.07069,0.030915,0.024285,0.01366,country
0.082941,0.032963,0.017434,0.010699,country
0.070224,0.030663,0.02569,0.019079,country
0.064661,0.025705,0.0149,0.007674,country
0.048704,0.029312,0.016411,0.020366,country
0.101167,0.038429,0.021668,0.018069,country
0.065531,0.029974,0.026203,0.018739,country
0.115814,0.033594,0.023363,0.007837,country
0.066658,0.034745,0.024074,0.031961,country
0.06505,0.033633,0.01314,0.016932,country
0.066832,0.03783,0.030629,0.035232,country
0.091125,0.036259,0.027434,0.024416,country
0.062903,0.034069,0.030419,0.022978,country
0.061967,0.027702,0.01609,0.017733,country
0.100803,0.043996,0.025112,0.02205,country
0.145706,0.064007,0.034722,0.017272,hiphop
0.09627,0.075837,0.031894,0.023851,hiphop
0.059348,0.045353,0.018004,0.023022,hiphop
0.092769,0.058826,0.017409,0.009602,hiphop
0.093676,0.074873,0.034234,0.023302,hiphop
0.12268,0.061909,0.018397,0.01311,hiphop
0.129555,0.101074,0.048742,0.040839,hiphop
0.079648,0.056477,0.017807,0.0211,hiphop
0.167537,0.092157,0.065649,0.032981,hiphop
0.098752,0.061629,0.065838,0.035637,hiphop
0.134988,0.05201,0.032785,0.016819,hiphop
0.095396,0.057838,0.033039,0.030408,hiphop
0.08475,0.034995,0.01555,0.011858,hiphop
0.104118,0.042981,0.021826,0.014535,hiphop
0.133464,0.046497,0.033075,0.015014,hiphop
0.118582,0.053605,0.025852,0.019048,hiphop
0.110813,0.075663,0.040098,0.03337,hiphop
0.082025,0.048502,0.017197,0.010513,hiphop
0.152719,0.102568,0.059623,0.038386,hiphop
0.104778,0.058747,0.032164,0.021382,hiphop
0.104971,0.073658,0.043534,0.019667,hiphop
0.11842,0.059164,0.02783,0.026658,hiphop
0.073065,0.045123,0.020162,0.024648,hiphop
0.103288,0.038817,0.020641,0.01119,hiphop
0.140631,0.063665,0.029454,0.021348,hiphop
0.109748,0.069248,0.028576,0.019169,hiphop
0.179003,0.120081,0.043486,0.026221,hiphop
0.106336,0.084249,0.041458,0.047587,hiphop
0.123402,0.069969,0.025554,0.022952,hiphop
0.116378,0.079886,0.042179,0.027404,hiphop
0.171508,0.068159,0.022328,0.010503,hiphop
0.134333,0.072326,0.03921,0.030595,hiphop
0.072189,0.059514,0.02513,0.032028,hiphop
0.155402,0.079435,0.052921,0.050787,hiphop
0.16253,0.064279,0.028851,0.015134,hiphop
0.102022,0.095446,0.038395,0.034691,hiphop
0.108677,0.078307,0.072213,0.046962,hiphop
0.209771,0.131419,0.058775,0.039596,hiphop
0.095145,0.047757,0.037866,0.022533,hiphop
0.116006,0.090934,0.066654,0.056029,hiphop
0.098843,0.065093,0.094395,0.064865,hiphop
0.116498,0.066746,0.03121,0.023781,hiphop
0.103121,0.075009,0.040012,0.026838,hiphop
0.060646,0.042813,0.021152,0.018829,hiphop
0.16118,0.065827,0.052138,0.043001,hiphop
0.116006,0.090934,0.066654,0.056029,hiphop
0.096111,0.073502,0.026717,0.023927,hiphop
0.118043,0.106929,0.044952,0.045618,hiphop
0.074687,0.053751,0.027512,0.019536,hiphop
0.109356,0.070599,0.020943,0.01932,hiphop
0.04392,0.036559,0.010607,0.011965,hiphop
0.097841,0.088909,0.033967,0.032057,hiphop
0.079715,0.062645,0.034507,0.031592,hiphop
0.111638,0.080291,0.036765,0.023567,hiphop
0.12909,0.087736,0.034431,0.036961,hiphop
0.0731,0.050113,0.02031,0.01493,hiphop
0.070498,0.04264,0.011203,0.005956,hiphop
0.052783,0.043596,0.0119,0.009958,hiphop
0.126664,0.09309,0.030015,0.023798,hiphop
0.067179,0.044282,0.029001,0.012628,hiphop
0.055023,0.043108,0.02918,0.012851,hiphop
0.066444,0.041772,0.016901,0.013174,hiphop
0.104271,0.109692,0.040971,0.038971,hiphop
0.12433,0.099141,0.03298,0.027944,hiphop
0.083903,0.062574,0.035276,0.027425,hiphop
0.089186,0.103062,0.031276,0.040205,hiphop
0.078274,0.059749,0.030785,0.031846,hiphop
0.127649,0.10562,0.044165,0.032287,hiphop
0.097073,0.066338,0.021881,0.014978,hiphop
0.124136,0.091725,0.035549,0.036808,hiphop
0.072244,0.062061,0.018967,0.019411,hiphop
0.109705,0.093871,0.048175,0.053992,hiphop
0.044122,0.035365,0.011823,0.008404,hiphop
0.092723,0.079676,0.064194,0.059671,hiphop
0.109711,0.070908,0.036355,0.01583,hiphop
0.143901,0.129721,0.054363,0.050789,hiphop
0.095661,0.089484,0.027411,0.027294,hiphop
0.130043,0.083854,0.033955,0.026654,hiphop
0.095661,0.089484,0.027411,0.027294,hiphop
0.168492,0.111636,0.038224,0.036835,hiphop
0.153334,0.097938,0.033736,0.044398,hiphop
0.049217,0.037548,0.01379,0.009669,hiphop
0.108953,0.075088,0.025955,0.012756,hiphop
0.108864,0.061938,0.028086,0.014785,hiphop
0.108439,0.071935,0.031524,0.019381,hiphop
0.126261,0.072452,0.023137,0.018984,hiphop
0.074809,0.058488,0.021773,0.020558,hiphop
0.088824,0.068572,0.039623,0.02486,hiphop
0.140627,0.063318,0.026767,0.02203,hiphop
0.112032,0.062832,0.026068,0.012139,hiphop
0.104456,0.049988,0.021957,0.013282,hiphop
0.139491,0.071657,0.029463,0.026817,hiphop
0.072526,0.045794,0.018128,0.008908,hiphop
0.157819,0.083863,0.043583,0.014376,hiphop
0.058014,0.036382,0.015148,0.010591,hiphop
0.158089,0.06465,0.027452,0.011076,hiphop
0.084061,0.037019,0.013322,0.006249,hiphop
0.09338,0.045613,0.029124,0.009477,hiphop
0.101018,0.065579,0.027245,0.017154,hiphop
0.099936,0.067343,0.02953,0.022478,hiphop
0.145706,0.064007,0.034722,0.017272,hiphop
0.09627,0.075837,0.031894,0.023851,hiphop
0.059348,0.045353,0.018004,0.023022,hiphop
0.092769,0.058826,0.017409,0.009602,hiphop
0.093676,0.074873,0.034234,0.023302,hiphop
0.12268,0.061909,0.018397,0.01311,hiphop
0.129555,0.101074,0.048742,0.040839,hiphop
0.079648,0.056477,0.017807,0.0211,hiphop
0.167537,0.092157,0.065649,0.032981,hiphop
0.098752,0.061629,0.065838,0.035637,hiphop
0.134988,0.05201,0.032785,0.016819,hiphop
0.095396,0.057838,0.033039,0.030408,hiphop
0.08475,0.034995,0.01555,0.011858,hiphop
0.104118,0.042981,0.021826,0.014535,hiphop
0.133464,0.046497,0.033075,0.015014,hiphop
0.118582,0.053605,0.025852,0.019048,hiphop
0.110813,0.075663,0.040098,0.03337,hiphop
0.082025,0.048502,0.017197,0.010513,hiphop
0.152719,0.102568,0.059623,0.038386,hiphop
0.104778,0.058747,0.032164,0.021382,hiphop
0.104971,0.073658,0.043534,0.019667,hiphop
0.11842,0.059164,0.02783,0.026658,hiphop
0.073065,0.045123,0.020162,0.024648,hiphop
0.103288,0.038817,0.020641,0.01119,hiphop
0.140631,0.063665,0.029454,0.021348,hiphop
0.109748,0.069248,0.028576,0.019169,hiphop
0.179003,0.120081,0.043486,0.026221,hiphop
0.106336,0.084249,0.041458,0.047587,hiphop
0.123402,0.069969,0.025554,0.022952,hiphop
0.116378,0.079886,0.042179,0.027404,hiphop
0.171508,0.068159,0.022328,0.010503,hiphop
0.134333,0.072326,0.03921,0.030595,hiphop
0.072189,0.059514,0.02513,0.032028,hiphop
0.155402,0.079435,0.052921,0.050787,hiphop
0.16253,0.064279,0.028851,0.015134,hiphop
0.102022,0.095446,0.038395,0.034691,hiphop
0.108677,0.078307,0.072213,0.046962,hiphop
0.209771,0.131419,0.058775,0.039596,hiphop
0.095145,0.047757,0.037866,0.022533,hiphop
0.116006,0.090934,0.066654,0.056029,hiphop
0.098843,0.065093,0.094395,0.064865,hiphop
0.116498,0.066746,0.03121,0.023781,hiphop
0.103121,0.075009,0.040012,0.026838,hiphop
0.060646,0.042813,0.021152,0.018829,hiphop
0.16118,0.065827,0.052138,0.043001,hiphop
0.116006,0.090934,0.066654,0.056029,hiphop
0.096111,0.073502,0.026717,0.023927,hiphop
0.118043,0.106929,0.044952,0.045618,hiphop
0.074687,0.053751,0.027512,0.019536,hiphop
0.109356,0.070599,0.020943,0.01932,hiphop
0.04392,0.036559,0.010607,0.011965,hiphop
0.097841,0.088909,0.033967,0.032057,hiphop
0.079715,0.062645,0.034507,0.031592,hiphop
0.111638,0.080291,0.036765,0.023567,hiphop
0.12909,0.087736,0.034431,0.036961,hiphop
0.0731,0.050113,0.02031,0.01493,hiphop
0.070498,0.04264,0.011203,0.005956,hiphop
0.052783,0.043596,0.0119,0.009958,hiphop
0.126664,0.09309,0.030015,0.023798,hiphop
0.067179,0.044282,0.029001,0.012628,hiphop
0.055023,0.043108,0.02918,0.012851,hiphop
0.066444,0.041772,0.016901,0.013174,hiphop
0.104271,0.109692,0.040971,0.038971,hiphop
0.12433,0.099141,0.03298,0.027944,hiphop
0.083903,0.062574,0.035276,0.027425,hiphop
0.089186,0.103062,0.031276,0.040205,hiphop
0.078274,0.059749,0.030785,0.031846,hiphop
0.127649,0.10562,0.044165,0.032287,hiphop
0.097073,0.066338,0.021881,0.014978,hiphop
0.124136,0.091725,0.035549,0.036808,hiphop
0.072244,0.062061,0.018967,0.019411,hiphop
0.109705,0.093871,0.048175,0.053992,hiphop
0.044122,0.035365,0.011823,0.008404,hiphop
0.092723,0.079676,0.064194,0.059671,hiphop
0.109711,0.070908,0.036355,0.01583,hiphop
0.143901,0.129721,0.054363,0.050789,hiphop
0.095661,0.089484,0.027411,0.027294,hiphop
0.130043,0.083854,0.033955,0.026654,hiphop
0.095661,0.089484,0.027411,0.027294,hiphop
0.168492,0.111636,0.038224,0.036835,hiphop
0.153334,0.097938,0.033736,0.044398,hiphop
0.049217,0.037548,0.01379,0.009669,hiphop
0.108953,0.075088,0.025955,0.012756,hiphop
0.108864,0.061938,0.028086,0.014785,hiphop
0.108439,0.071935,0.031524,0.019381,hiphop
0.126261,0.072452,0.023137,0.018984,hiphop
0.074809,0.058488,0.021773,0.020558,hiphop
0.088824,0.068572,0.039623,0.02486,hiphop
0.140627,0.063318,0.026767,0.02203,hiphop
0.112032,0.062832,0.026068,0.012139,hiphop
0.104456,0.049988,0.021957,0.013282,hiphop
0.139491,0.071657,0.029463,0.026817,hiphop
0.072526,0.045794,0.018128,0.008908,hiphop
0.157819,0.083863,0.043583,0.014376,hiphop
0.058014,0.036382,0.015148,0.010591,hiphop
0.158089,0.06465,0.027452,0.011076,hiphop
0.084061,0.037019,0.013322,0.006249,hiphop
0.09338,0.045613,0.029124,0.009477,hiphop
0.101018,0.065579,0.027245,0.017154,hiphop
0.099936,0.067343,0.02953,0.022478,hiphop
0.08874,0.036131,0.036048,0.022783,jazz
0.062971,0.023249,0.025989,0.010525,jazz
0.061823,0.013063,0.031101,0.007122,jazz
0.049366,0.011028,0.012073,0.004179,jazz
0.044438,0.012387,0.018477,0.008542,jazz
0.060639,0.023608,0.019605,0.005332,jazz
0.051972,0.020431,0.021916,0.009084,jazz
0.062748,0.016765,0.023288,0.009384,jazz
0.042884,0.019046,0.014739,0.006711,jazz
0.035263,0.009351,0.00933,0.004227,jazz
0.034797,0.011985,0.017867,0.007152,jazz
0.079224,0.028016,0.018303,0.010949,jazz
0.062928,0.023342,0.014294,0.005326,jazz
0.06134,0.022031,0.011803,0.005592,jazz
0.067236,0.019583,0.030924,0.01432,jazz
0.073036,0.028392,0.016294,0.006603,jazz
0.07285,0.02136,0.030812,0.013746,jazz
0.09248,0.037021,0.033633,0.014467,jazz
0.087715,0.028632,0.018449,0.009548,jazz
0.059181,0.015261,0.015966,0.007265,jazz
0.032074,0.017245,0.014587,0.007837,jazz
0.171404,0.069485,0.069601,0.025057,jazz
0.051795,0.017662,0.020224,0.014016,jazz
0.079587,0.024659,0.023196,0.01115,jazz
0.10018,0.03909,0.038263,0.022509,jazz
0.056661,0.023942,0.014347,0.009475,jazz
0.038599,0.010069,0.017529,0.008747,jazz
0.062578,0.027763,0.016832,0.008175,jazz
0.075905,0.026326,0.016517,0.010865,jazz
0.096279,0.033641,0.021608,0.00971,jazz
0.07749,0.021392,0.045164,0.013113,jazz
0.075902,0.027362,0.023833,0.007083,jazz
0.060514,0.028595,0.026969,0.014477,jazz
0.043721,0.021413,0.01161,0.008268,jazz
0.078629,0.042302,0.030796,0.019483,jazz
0.037917,0.010438,0.008126,0.003984,jazz
0.096536,0.037708,0.030003,0.015386,jazz
0.052245,0.023101,0.010963,0.006942,jazz
0.06476,0.023012,0.016428,0.008072,jazz
0.077754,0.03473,0.02166,0.009906,jazz
0.056137,0.021058,0.013492,0.011772,jazz
0.105172,0.038172,0.027075,0.013983,jazz
0.063323,0.022709,0.021852,0.015641,jazz
0.086432,0.026985,0.020186,0.007689,jazz
0.049107,0.020764,0.01573,0.007408,jazz
0.042751,0.012067,0.012623,0.004782,jazz
0.060213,0.019731,0.013371,0.00873,jazz
0.097452,0.040418,0.027077,0.024073,jazz
0.077836,0.025806,0.01636,0.007111,jazz
0.065569,0.028933,0.029355,0.029112,jazz
0.077462,0.031971,0.01551,0.005504,jazz
0.043812,0.021325,0.01148,0.008111,jazz
0.075927,0.037235,0.029352,0.014328,jazz
0.078589,0.042477,0.030987,0.019927,jazz
0.068407,0.020597,0.018276,0.006659,jazz
0.037923,0.010412,0.008094,0.003978,jazz
0.11269,0.053911,0.024961,0.012551,jazz
0.059723,0.018146,0.026335,0.010471,jazz
0.096602,0.037622,0.029911,0.015431,jazz
0.040985,0.024109,0.018279,0.010674,jazz
0.053145,0.024429,0.010947,0.00744,jazz
0.095555,0.036947,0.017719,0.007466,jazz
0.065943,0.023567,0.016476,0.008289,jazz
0.093742,0.030922,0.021256,0.00756,jazz
0.057295,0.019493,0.008019,0.003757,jazz
